power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
29.69, 0, 0, 60, P0
62.04, 91, 18, 61, P0
74.99, 98, 34, 62, P0
74.75, 98, 44, 62, P0
67.16, 95, 33, 63, P0
69.61, 94, 43, 63, P0
75.28, 81, 35, 63, P0
70.23, 99, 40, 63, P0
71.45, 97, 42, 63, P0
84.08, 92, 41, 64, P0
59.52, 94, 43, 63, P0
76.19, 98, 43, 64, P0
91.53, 99, 37, 64, P0
72.83, 97, 36, 64, P0
55.70, 91, 40, 64, P0
73.55, 98, 43, 64, P0
69.04, 93, 44, 64, P0
60.31, 99, 33, 64, P0
74.90, 97, 35, 65, P0
51.65, 90, 35, 64, P0
67.84, 98, 42, 65, P0
48.23, 87, 42, 64, P0
58.36, 98, 39, 64, P0
80.02, 96, 33, 65, P0
68.64, 96, 43, 65, P0
46.71, 97, 41, 65, P0
81.07, 97, 38, 65, P0
72.45, 97, 41, 65, P0
46.62, 98, 45, 65, P0
65.03, 96, 45, 66, P0
74.03, 97, 40, 66, P0
67.69, 97, 39, 66, P0
57.88, 99, 40, 66, P0
76.72, 98, 47, 66, P0
47.50, 98, 44, 66, P0
73.84, 97, 41, 66, P0
61.58, 94, 48, 66, P0
67.79, 99, 38, 66, P0
63.35, 98, 30, 66, P0
80.45, 98, 43, 66, P0
81.84, 93, 34, 67, P0
76.96, 92, 47, 66, P0
72.16, 83, 38, 66, P0
89.04, 98, 33, 67, P0
64.60, 96, 36, 66, P0
48.69, 94, 34, 66, P0
73.79, 94, 39, 67, P0
67.73, 86, 38, 66, P0
57.46, 99, 42, 67, P0
65.22, 96, 37, 67, P0
52.71, 92, 41, 67, P0
64.79, 95, 42, 67, P0
44.13, 97, 42, 66, P0
53.61, 99, 41, 66, P0
86.99, 100, 41, 67, P0
50.71, 92, 39, 67, P0
61.69, 98, 43, 67, P0
78.92, 98, 43, 67, P0
82.36, 98, 38, 67, P0
50.68, 98, 39, 67, P0
59.25, 96, 42, 67, P0
69.34, 98, 43, 67, P0
61.68, 95, 45, 67, P0
65.58, 98, 38, 67, P0
81.21, 98, 38, 68, P0
54.44, 96, 42, 67, P0
64.16, 95, 32, 67, P0
74.37, 95, 46, 67, P0
62.77, 85, 36, 67, P0
58.13, 98, 34, 67, P0
41.79, 95, 39, 67, P0
48.10, 93, 30, 67, P0
73.41, 93, 42, 68, P0
63.39, 84, 37, 67, P0
55.08, 99, 43, 68, P0
73.12, 95, 36, 68, P0
46.30, 92, 40, 67, P0
63.49, 96, 38, 68, P0
56.43, 98, 41, 67, P0
51.65, 99, 41, 68, P0
48.81, 99, 43, 67, P0
55.31, 93, 42, 68, P0
83.03, 98, 40, 68, P0
59.06, 97, 40, 68, P0
65.56, 99, 38, 68, P0
48.33, 99, 43, 68, P0
83.85, 98, 43, 68, P0
60.35, 98, 43, 68, P0
69.56, 94, 47, 68, P0
64.37, 98, 38, 68, P0
61.02, 98, 33, 68, P0
42.20, 99, 45, 68, P0
48.81, 91, 34, 68, P0
71.78, 93, 47, 68, P0
70.48, 90, 42, 68, P0
73.02, 99, 34, 68, P0
67.44, 96, 33, 68, P0
53.41, 90, 34, 68, P0
64.12, 98, 41, 68, P0
41.88, 87, 41, 68, P0
50.87, 98, 39, 68, P0
52.06, 97, 33, 68, P0
62.20, 97, 41, 68, P0
52.90, 98, 42, 68, P0
69.47, 97, 40, 69, P0
57.69, 98, 39, 69, P0
50.87, 98, 43, 68, P0
58.26, 97, 43, 68, P0
42.08, 97, 40, 68, P0
78.40, 97, 40, 68, P0
68.89, 95, 37, 68, P0
81.84, 98, 43, 69, P0
72.49, 99, 45, 68, P0
76.24, 97, 41, 68, P0
75.28, 93, 45, 68, P0
69.08, 96, 37, 68, P0
56.11, 99, 35, 68, P0
42.20, 99, 46, 68, P0
48.45, 91, 33, 68, P0
70.34, 93, 46, 69, P0
58.71, 89, 42, 69, P0
63.77, 99, 35, 69, P0
65.37, 97, 35, 69, P0
57.13, 90, 35, 69, P0
67.44, 98, 41, 69, P0
42.94, 87, 41, 68, P0
49.55, 99, 41, 68, P0
81.75, 96, 33, 69, P0
51.74, 96, 45, 68, P0
48.27, 97, 40, 69, P0
79.50, 97, 39, 69, P0
77.20, 99, 41, 69, P0
48.52, 98, 43, 68, P0
61.95, 96, 44, 69, P0
57.59, 97, 39, 69, P0
71.10, 97, 38, 69, P0
72.79, 98, 39, 69, P0
81.22, 98, 44, 69, P0
65.47, 99, 44, 69, P0
63.29, 96, 39, 69, P0
62.77, 94, 49, 69, P0
67.06, 99, 39, 69, P0
63.06, 99, 33, 69, P0
44.01, 99, 44, 69, P0
47.20, 91, 35, 69, P0
67.69, 92, 46, 69, P0
66.82, 93, 43, 69, P0
64.90, 99, 34, 69, P0
71.97, 97, 35, 69, P0
45.56, 91, 34, 69, P0
