power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
39.71, 99, 47, 68, P0
60.75, 99, 44, 69, P0
73.12, 98, 44, 69, P0
68.56, 99, 39, 69, P0
72.74, 99, 43, 69, P0
77.25, 95, 46, 69, P0
58.17, 98, 33, 69, P0
74.22, 95, 33, 69, P0
78.78, 88, 37, 69, P0
75.66, 97, 42, 69, P0
72.35, 94, 43, 69, P0
52.13, 99, 37, 69, P0
83.62, 92, 42, 69, P0
51.55, 98, 43, 69, P0
51.68, 98, 40, 69, P0
73.02, 96, 33, 69, P0
64.89, 88, 38, 69, P0
83.56, 99, 47, 69, P0
71.72, 94, 45, 69, P0
77.92, 99, 33, 69, P0
46.81, 92, 36, 69, P0
66.81, 91, 42, 69, P0
68.94, 97, 35, 69, P0
57.69, 98, 41, 69, P0
83.66, 99, 41, 69, P0
69.95, 96, 44, 69, P0
61.21, 97, 38, 69, P0
82.89, 99, 44, 69, P0
77.05, 97, 40, 69, P0
80.45, 99, 40, 69, P0
76.19, 99, 43, 69, P0
66.04, 94, 48, 69, P0
84.85, 99, 30, 69, P0
55.76, 94, 34, 69, P0
53.38, 90, 40, 69, P0
48.62, 100, 44, 69, P0
83.28, 99, 40, 69, P0
63.39, 99, 40, 69, P0
81.22, 99, 43, 69, P0
73.50, 95, 47, 69, P0
76.14, 98, 33, 69, P0
64.22, 95, 31, 69, P0
68.27, 88, 37, 69, P0
54.51, 97, 40, 69, P0
73.75, 96, 42, 69, P0
50.71, 99, 41, 69, P0
51.16, 92, 41, 69, P0
77.25, 98, 42, 69, P0
49.46, 99, 40, 69, P0
67.99, 98, 42, 69, P0
61.08, 99, 38, 69, P0
49.29, 98, 41, 69, P0
67.62, 97, 44, 69, P0
72.64, 98, 42, 69, P0
78.25, 96, 34, 69, P0
85.37, 88, 38, 69, P0
77.34, 98, 36, 69, P0
69.94, 98, 44, 69, P0
51.68, 99, 40, 69, P0
55.50, 97, 41, 69, P0
65.47, 97, 42, 69, P0
66.68, 96, 41, 69, P0
50.33, 97, 36, 69, P0
67.49, 90, 35, 69, P0
77.01, 99, 48, 69, P0
70.76, 94, 46, 69, P0
80.26, 99, 35, 69, P0
78.63, 91, 35, 69, P0
52.90, 87, 41, 69, P0
68.21, 98, 34, 69, P0
62.77, 98, 40, 69, P0
83.95, 99, 41, 69, P0
73.02, 96, 44, 69, P0
69.90, 96, 38, 69, P0
74.32, 99, 46, 69, P0
74.46, 97, 39, 69, P0
74.85, 99, 41, 69, P0
73.12, 97, 32, 69, P0
78.68, 97, 41, 69, P0
75.52, 99, 43, 69, P0
57.43, 95, 44, 69, P0
51.51, 97, 40, 69, P0
63.17, 100, 44, 69, P0
56.11, 99, 44, 69, P0
56.34, 99, 38, 69, P0
71.39, 99, 43, 69, P0
70.57, 96, 46, 69, P0
68.89, 98, 34, 69, P0
92.93, 95, 34, 69, P0
65.54, 89, 37, 69, P0
72.88, 97, 43, 69, P0
79.83, 94, 43, 69, P0
