CMDLINE /scrap/users/blazquez/.conda/envs/pyeddl_cpu/bin/python3.8 6_drive_memoryusage.py
MEM 0.820312 1619776232.4519
MEM 16.816406 1619776232.5526
MEM 89.937500 1619776232.6529
MEM 294.753906 1619776232.7532
MEM 554.121094 1619776232.8535
MEM 768.929688 1619776232.9553
MEM 987.855469 1619776233.0558
MEM 1212.312500 1619776233.1562
MEM 1413.093750 1619776233.2566
MEM 1623.113281 1619776233.3570
MEM 1831.601562 1619776233.4573
MEM 2051.406250 1619776233.5577
MEM 2252.160156 1619776233.6580
MEM 2493.511719 1619776233.7585
MEM 2660.949219 1619776233.8589
MEM 2928.550781 1619776233.9592
MEM 3175.921875 1619776234.0596
MEM 3425.523438 1619776234.1600
MEM 3699.042969 1619776234.2604
MEM 3931.933594 1619776234.3608
MEM 4201.851562 1619776234.4613
MEM 4473.054688 1619776234.5618
MEM 4742.203125 1619776234.6623
MEM 5006.714844 1619776234.7627
MEM 5251.187500 1619776234.8632
MEM 5515.960938 1619776234.9637
MEM 5759.933594 1619776235.0642
MEM 6020.332031 1619776235.1647
MEM 6214.375000 1619776235.2652
MEM 6214.839844 1619776235.3659
MEM 6214.839844 1619776235.4665
MEM 6274.304688 1619776235.5671
MEM 6476.656250 1619776235.6677
MEM 6584.644531 1619776235.7682
MEM 6642.093750 1619776235.8686
MEM 6672.828125 1619776235.9688
MEM 6673.597656 1619776236.0692
MEM 6673.597656 1619776236.1696
MEM 6674.101562 1619776236.2700
MEM 6688.531250 1619776236.3703
MEM 6708.894531 1619776236.4705
MEM 6728.742188 1619776236.5709
MEM 6748.050781 1619776236.6714
MEM 6767.125000 1619776236.7717
MEM 6783.613281 1619776236.8720
MEM 6792.371094 1619776236.9724
MEM 6872.613281 1619776237.0727
MEM 6875.390625 1619776237.1729
MEM 6876.929688 1619776237.2733
MEM 6877.718750 1619776237.3736
MEM 6878.773438 1619776237.4739
MEM 6881.085938 1619776237.5743
MEM 6883.699219 1619776237.6747
MEM 6930.718750 1619776237.7753
MEM 7028.808594 1619776237.8757
MEM 7037.980469 1619776237.9759
MEM 7058.089844 1619776238.0762
MEM 7156.777344 1619776238.1765
MEM 7122.996094 1619776238.2772
MEM 7122.996094 1619776238.3780
MEM 7125.882812 1619776238.4787
MEM 7130.820312 1619776238.5795
MEM 7132.054688 1619776238.6798
MEM 7262.222656 1619776238.7806
MEM 7316.449219 1619776238.8810
MEM 7334.496094 1619776238.9812
MEM 7352.542969 1619776239.0814
MEM 7370.332031 1619776239.1817
MEM 7388.378906 1619776239.2819
MEM 7408.746094 1619776239.3821
MEM 7426.792969 1619776239.4823
MEM 7444.582031 1619776239.5826
MEM 7463.144531 1619776239.6828
MEM 7482.996094 1619776239.7830
MEM 7501.042969 1619776239.8833
MEM 7518.832031 1619776239.9835
MEM 7539.199219 1619776240.0837
MEM 7557.246094 1619776240.1840
MEM 7575.292969 1619776240.2843
MEM 7594.628906 1619776240.3846
MEM 7613.449219 1619776240.4850
MEM 7631.496094 1619776240.5853
MEM 7649.542969 1619776240.6855
MEM 7667.332031 1619776240.7858
MEM 7687.699219 1619776240.8861
MEM 7705.746094 1619776240.9863
MEM 7723.792969 1619776241.0865
MEM 7743.902344 1619776241.1867
MEM 7761.949219 1619776241.2869
MEM 7779.996094 1619776241.3871
MEM 7798.042969 1619776241.4873
MEM 7818.152344 1619776241.5875
MEM 7836.199219 1619776241.6877
MEM 7856.566406 1619776241.7880
MEM 7874.355469 1619776241.8883
MEM 7950.355469 1619776241.9885
MEM 7950.355469 1619776242.0887
MEM 7950.355469 1619776242.1890
MEM 7950.355469 1619776242.2892
MEM 7950.355469 1619776242.3895
MEM 7950.355469 1619776242.4898
MEM 7950.355469 1619776242.5900
MEM 7950.355469 1619776242.6905
MEM 7950.355469 1619776242.7908
MEM 7950.355469 1619776242.8910
MEM 7950.355469 1619776242.9915
MEM 7950.355469 1619776243.0918
MEM 7950.464844 1619776243.1952
MEM 7950.464844 1619776243.2969
MEM 7950.464844 1619776243.3990
MEM 7950.464844 1619776243.5004
MEM 7950.464844 1619776243.6010
MEM 8079.429688 1619776243.7018
MEM 8138.535156 1619776243.8024
MEM 8165.484375 1619776243.9027
MEM 8191.000000 1619776244.0031
MEM 8209.046875 1619776244.1033
MEM 8229.156250 1619776244.2036
MEM 8247.203125 1619776244.3038
MEM 8265.250000 1619776244.4040
MEM 8283.296875 1619776244.5043
MEM 8303.406250 1619776244.6045
MEM 8321.453125 1619776244.7047
MEM 8362.738281 1619776244.8050
MEM 8362.738281 1619776244.9052
MEM 8362.738281 1619776245.0055
MEM 8362.738281 1619776245.1058
MEM 8362.738281 1619776245.2061
MEM 8362.792969 1619776245.3069
MEM 8379.863281 1619776245.4075
MEM 8455.320312 1619776245.5082
MEM 8474.500000 1619776245.6085
MEM 8492.546875 1619776245.7087
MEM 8510.593750 1619776245.8090
MEM 8524.000000 1619776245.9092
MEM 8542.046875 1619776246.0096
MEM 8560.093750 1619776246.1100
MEM 8578.140625 1619776246.2104
MEM 8596.187500 1619776246.3107
MEM 8609.593750 1619776246.4111
MEM 8627.640625 1619776246.5113
MEM 8645.687500 1619776246.6117
MEM 8663.476562 1619776246.7120
MEM 8681.523438 1619776246.8123
MEM 8699.570312 1619776246.9125
MEM 8716.843750 1619776247.0127
MEM 8731.023438 1619776247.1130
