power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.65, 93, 42, 69, P0
55.56, 98, 40, 69, P0
52.32, 98, 45, 69, P0
60.02, 96, 44, 69, P0
87.36, 95, 38, 70, P0
62.39, 97, 38, 70, P0
73.84, 99, 39, 70, P0
73.50, 99, 43, 69, P0
67.25, 99, 44, 70, P0
78.25, 92, 38, 70, P0
68.89, 93, 47, 70, P0
76.77, 95, 38, 70, P0
74.75, 99, 34, 70, P0
73.99, 99, 46, 70, P0
83.32, 91, 34, 70, P0
63.83, 92, 48, 70, P0
73.55, 88, 41, 70, P0
76.91, 99, 35, 70, P0
74.13, 97, 34, 69, P0
84.66, 87, 32, 69, P0
72.02, 98, 41, 70, P0
58.61, 94, 43, 70, P0
51.16, 99, 40, 70, P0
69.38, 96, 35, 70, P0
49.55, 97, 41, 70, P0
61.66, 98, 42, 70, P0
76.05, 97, 41, 69, P0
81.65, 99, 41, 70, P0
50.58, 98, 41, 69, P0
66.98, 95, 41, 69, P0
76.05, 97, 37, 70, P0
67.11, 97, 40, 70, P0
57.46, 91, 35, 70, P0
78.58, 98, 42, 70, P0
53.19, 98, 47, 70, P0
73.55, 97, 37, 70, P0
73.84, 94, 45, 70, P0
74.75, 89, 36, 70, P0
69.18, 99, 34, 70, P0
69.33, 99, 47, 70, P0
74.32, 90, 36, 70, P0
66.39, 94, 45, 70, P0
74.85, 95, 44, 70, P0
74.13, 100, 33, 70, P0
76.19, 97, 35, 70, P0
83.26, 91, 36, 70, P0
69.81, 98, 42, 70, P0
53.25, 96, 44, 70, P0
51.42, 99, 40, 70, P0
85.18, 95, 34, 70, P0
48.88, 97, 42, 70, P0
63.10, 98, 42, 70, P0
77.24, 97, 40, 69, P0
81.84, 99, 40, 70, P0
54.86, 98, 41, 69, P0
61.97, 97, 42, 70, P0
74.03, 97, 35, 70, P0
62.20, 96, 40, 69, P0
65.23, 88, 35, 70, P0
79.92, 98, 41, 70, P0
56.27, 99, 47, 70, P0
71.25, 97, 35, 70, P0
70.34, 94, 45, 70, P0
79.83, 88, 36, 70, P0
68.03, 99, 34, 70, P0
66.00, 99, 47, 70, P0
76.29, 92, 37, 70, P0
65.93, 93, 45, 70, P0
75.90, 97, 45, 70, P0
69.52, 99, 34, 70, P0
74.61, 97, 35, 70, P0
74.99, 91, 38, 69, P0
75.14, 98, 43, 70, P0
53.93, 97, 45, 70, P0
55.34, 99, 40, 70, P0
69.91, 97, 34, 70, P0
52.00, 97, 43, 70, P0
61.27, 98, 43, 70, P0
78.01, 97, 40, 69, P0
81.54, 99, 40, 70, P0
48.88, 98, 42, 69, P0
62.39, 97, 42, 69, P0
65.40, 97, 34, 70, P0
60.98, 97, 40, 69, P0
70.62, 88, 36, 70, P0
82.60, 98, 41, 70, P0
52.22, 99, 46, 70, P0
70.96, 97, 35, 70, P0
69.28, 94, 44, 70, P0
77.67, 87, 37, 70, P0
65.67, 99, 35, 70, P0
63.69, 99, 45, 70, P0
82.02, 91, 39, 70, P0
66.98, 94, 44, 69, P0
82.32, 98, 45, 70, P0
69.18, 99, 35, 70, P0
76.29, 97, 34, 70, P0
76.38, 91, 39, 70, P0
72.30, 98, 43, 70, P0
53.83, 98, 44, 69, P0
52.10, 99, 40, 69, P0
69.95, 97, 35, 70, P0
49.55, 97, 41, 69, P0
57.71, 98, 43, 70, P0
80.12, 97, 41, 70, P0
85.33, 98, 40, 70, P0
53.64, 98, 41, 69, P0
66.69, 96, 42, 70, P0
69.29, 97, 33, 70, P0
63.69, 96, 41, 70, P0
69.62, 87, 37, 70, P0
84.08, 98, 41, 70, P0
62.48, 99, 44, 70, P0
67.36, 96, 34, 70, P0
70.96, 94, 44, 70, P0
74.85, 87, 36, 70, P0
67.07, 99, 35, 70, P0
71.92, 99, 45, 70, P0
86.71, 91, 40, 70, P0
67.83, 93, 45, 70, P0
74.08, 97, 45, 70, P0
71.83, 99, 34, 70, P0
73.75, 96, 34, 70, P0
91.83, 91, 39, 70, P0
74.66, 98, 42, 70, P0
53.93, 98, 44, 69, P0
49.17, 99, 41, 69, P0
82.60, 97, 35, 70, P0
54.12, 97, 42, 69, P0
46.37, 98, 43, 69, P0
74.51, 95, 40, 70, P0
74.46, 99, 40, 70, P0
51.00, 98, 40, 69, P0
56.36, 97, 40, 70, P0
45.53, 94, 34, 69, P0
75.81, 97, 42, 70, P0
66.68, 87, 38, 70, P0
74.85, 98, 42, 70, P0
72.88, 98, 43, 70, P0
67.16, 96, 34, 70, P0
74.75, 93, 43, 70, P0
71.25, 87, 36, 70, P0
71.63, 99, 37, 70, P0
71.73, 98, 43, 69, P0
45.33, 92, 41, 69, P0
70.00, 94, 43, 70, P0
46.56, 98, 44, 69, P0
68.27, 99, 38, 69, P0
62.73, 98, 38, 70, P0
58.90, 92, 40, 70, P0
73.32, 98, 43, 70, P0
78.87, 98, 44, 69, P0
56.05, 99, 39, 70, P0
61.14, 98, 37, 69, P0
80.64, 98, 41, 70, P0
67.31, 98, 42, 70, P0
53.09, 96, 46, 69, P0
66.68, 99, 38, 70, P0
60.02, 98, 37, 70, P0
84.17, 98, 43, 70, P0
78.83, 95, 32, 70, P0
70.82, 96, 45, 70, P0
70.53, 87, 37, 70, P0
80.36, 98, 35, 70, P0
73.65, 96, 39, 70, P0
58.52, 95, 31, 70, P0
71.30, 95, 42, 70, P0
80.07, 87, 37, 70, P0
76.57, 99, 40, 70, P0
78.15, 96, 39, 70, P0
70.57, 92, 40, 70, P0
79.68, 95, 42, 70, P0
53.28, 98, 42, 69, P0
51.65, 99, 40, 69, P0
49.36, 100, 41, 70, P0
59.15, 92, 39, 70, P0
88.47, 98, 43, 70, P0
56.94, 98, 42, 70, P0
72.74, 99, 39, 70, P0
48.69, 100, 41, 69, P0
82.89, 98, 43, 70, P0
74.66, 97, 43, 70, P0
70.19, 95, 46, 70, P0
70.82, 98, 38, 70, P0
72.26, 98, 32, 70, P0
76.14, 95, 41, 70, P0
94.91, 94, 33, 70, P0
61.72, 94, 47, 70, P0
70.91, 87, 37, 70, P0
79.21, 98, 32, 70, P0
76.48, 96, 36, 70, P0
67.83, 94, 32, 70, P0
72.35, 96, 39, 70, P0
74.04, 87, 37, 70, P0
52.32, 99, 42, 70, P0
73.17, 96, 35, 70, P0
80.68, 93, 40, 70, P0
82.74, 96, 38, 70, P0
59.96, 98, 41, 69, P0
79.59, 99, 43, 70, P0
57.87, 99, 44, 70, P0
64.71, 93, 41, 70, P0
85.31, 98, 44, 70, P0
69.66, 97, 41, 70, P0
65.86, 99, 40, 69, P0
76.57, 99, 43, 70, P0
57.48, 99, 43, 70, P0
76.10, 99, 43, 69, P0
66.92, 95, 48, 70, P0
78.06, 99, 40, 70, P0
73.26, 96, 31, 70, P0
68.60, 98, 42, 70, P0
90.97, 94, 34, 70, P0
59.10, 95, 47, 70, P0
72.21, 85, 36, 70, P0
80.26, 98, 32, 70, P0
74.46, 96, 35, 69, P0
68.46, 94, 34, 69, P0
71.68, 96, 38, 70, P0
87.36, 86, 36, 70, P0
52.90, 99, 43, 70, P0
70.10, 95, 35, 70, P0
77.53, 93, 40, 69, P0
79.50, 96, 39, 70, P0
62.93, 98, 41, 69, P0
83.03, 99, 41, 70, P0
50.33, 99, 44, 69, P0
