power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
39.88, 98, 43, 69, P0
81.93, 98, 43, 69, P0
43.46, 96, 38, 69, P0
66.19, 98, 38, 69, P0
76.33, 99, 45, 70, P0
74.51, 94, 48, 69, P0
73.75, 99, 34, 69, P0
47.75, 91, 33, 69, P0
54.83, 92, 42, 69, P0
73.17, 98, 35, 69, P0
68.61, 98, 42, 70, P0
67.40, 99, 39, 69, P0
86.32, 96, 42, 69, P0
72.54, 97, 40, 69, P0
56.24, 98, 43, 69, P0
82.47, 97, 40, 70, P0
69.32, 94, 37, 70, P0
54.63, 99, 46, 69, P0
73.89, 94, 46, 69, P0
56.34, 98, 34, 70, P0
51.68, 91, 36, 69, P0
54.19, 97, 40, 69, P0
67.25, 98, 42, 69, P0
55.18, 97, 39, 70, P0
67.79, 96, 37, 70, P0
78.40, 99, 46, 70, P0
70.05, 94, 46, 69, P0
80.65, 99, 34, 70, P0
47.07, 92, 35, 70, P0
67.44, 87, 41, 70, P0
65.91, 98, 34, 70, P0
65.66, 98, 40, 69, P0
56.49, 99, 40, 69, P0
59.13, 96, 44, 69, P0
79.21, 97, 39, 69, P0
74.99, 98, 43, 69, P0
76.43, 96, 40, 70, P0
68.94, 100, 38, 70, P0
42.39, 99, 44, 70, P0
70.53, 94, 49, 70, P0
78.78, 99, 34, 69, P0
81.46, 92, 37, 70, P0
81.55, 97, 38, 69, P0
53.70, 99, 46, 70, P0
79.97, 97, 40, 69, P0
68.12, 99, 38, 69, P0
59.48, 98, 43, 70, P0
64.12, 94, 47, 70, P0
64.41, 99, 31, 69, P0
89.18, 94, 35, 70, P0
75.66, 86, 37, 70, P0
73.26, 97, 37, 69, P0
68.02, 96, 41, 70, P0
52.45, 99, 42, 69, P0
60.54, 92, 41, 69, P0
72.69, 97, 41, 69, P0
50.62, 99, 43, 69, P0
42.00, 99, 43, 69, P0
65.52, 99, 38, 70, P0
73.31, 98, 43, 70, P0
67.35, 95, 41, 70, P0
63.16, 99, 43, 70, P0
48.13, 93, 40, 69, P0
47.27, 98, 41, 70, P0
81.60, 99, 43, 70, P0
70.28, 98, 44, 70, P0
54.51, 99, 39, 70, P0
69.95, 98, 43, 70, P0
73.79, 95, 46, 69, P0
71.20, 98, 33, 70, P0
75.47, 95, 31, 70, P0
66.50, 88, 37, 69, P0
72.26, 95, 36, 70, P0
69.66, 96, 39, 70, P0
68.31, 99, 43, 69, P0
67.20, 93, 40, 70, P0
76.57, 98, 41, 70, P0
69.46, 100, 44, 69, P0
50.84, 99, 44, 69, P0
68.74, 99, 39, 69, P0
74.99, 98, 43, 70, P0
74.18, 96, 38, 69, P0
53.57, 99, 43, 70, P0
44.23, 92, 40, 69, P0
49.49, 97, 41, 70, P0
68.90, 100, 44, 70, P0
76.14, 99, 44, 69, P0
60.31, 99, 39, 70, P0
79.55, 98, 43, 69, P0
72.16, 95, 47, 70, P0
57.46, 98, 32, 70, P0
48.42, 95, 33, 70, P0
56.24, 87, 36, 70, P0
73.36, 97, 37, 69, P0
61.62, 96, 38, 70, P0
68.50, 99, 43, 69, P0
67.54, 93, 41, 69, P0
76.81, 98, 40, 70, P0
64.50, 99, 44, 69, P0
43.55, 97, 44, 69, P0
61.95, 99, 38, 69, P0
48.52, 98, 42, 70, P0
70.72, 96, 41, 70, P0
66.25, 99, 43, 70, P0
51.93, 93, 41, 69, P0
45.17, 98, 41, 70, P0
83.80, 100, 43, 70, P0
56.11, 98, 43, 70, P0
83.47, 99, 39, 70, P0
69.18, 98, 43, 70, P0
59.15, 96, 46, 69, P0
68.56, 98, 36, 70, P0
95.67, 96, 34, 70, P0
72.10, 88, 36, 70, P0
73.98, 98, 43, 69, P0
79.88, 94, 42, 70, P0
78.40, 99, 36, 70, P0
70.38, 93, 41, 69, P0
51.77, 98, 42, 69, P0
50.58, 98, 38, 69, P0
94.75, 98, 44, 70, P0
77.92, 99, 39, 70, P0
92.84, 97, 40, 70, P0
65.85, 94, 44, 70, P0
85.71, 99, 35, 70, P0
50.81, 92, 40, 70, P0
65.66, 98, 42, 69, P0
76.14, 98, 35, 70, P0
60.94, 98, 43, 69, P0
51.97, 99, 41, 69, P0
53.44, 97, 42, 70, P0
76.19, 97, 40, 70, P0
69.23, 98, 41, 69, P0
67.44, 97, 41, 69, P0
72.98, 95, 38, 70, P0
44.42, 99, 45, 70, P0
74.08, 94, 47, 69, P0
71.68, 99, 34, 70, P0
82.21, 93, 37, 69, P0
54.06, 87, 41, 70, P0
83.03, 98, 34, 70, P0
63.29, 98, 40, 70, P0
83.28, 99, 41, 70, P0
47.58, 96, 44, 70, P0
74.51, 94, 50, 70, P0
70.05, 99, 33, 70, P0
76.67, 93, 35, 70, P0
72.26, 87, 40, 70, P0
74.99, 97, 34, 69, P0
73.60, 98, 40, 70, P0
52.32, 99, 41, 69, P0
66.08, 96, 44, 70, P0
76.91, 97, 38, 70, P0
81.32, 99, 44, 69, P0
71.05, 97, 38, 69, P0
74.18, 99, 39, 70, P0
79.02, 98, 43, 70, P0
68.93, 94, 49, 69, P0
68.12, 99, 34, 70, P0
78.73, 92, 35, 69, P0
53.38, 87, 41, 70, P0
67.73, 98, 34, 70, P0
62.66, 98, 40, 69, P0
68.50, 99, 40, 70, P0
56.08, 96, 44, 70, P0
73.45, 94, 49, 70, P0
67.69, 99, 34, 69, P0
79.11, 92, 34, 70, P0
78.97, 88, 41, 70, P0
74.90, 97, 34, 70, P0
72.78, 98, 41, 70, P0
55.28, 99, 40, 69, P0
67.08, 97, 44, 70, P0
69.42, 97, 38, 70, P0
74.61, 99, 46, 69, P0
76.33, 97, 40, 70, P0
79.21, 100, 40, 70, P0
85.50, 99, 43, 70, P0
65.37, 94, 49, 70, P0
95.76, 99, 30, 70, P0
50.20, 94, 34, 69, P0
54.73, 88, 41, 69, P0
55.41, 97, 36, 70, P0
56.72, 99, 43, 70, P0
55.18, 99, 39, 69, P0
56.62, 98, 43, 69, P0
78.01, 95, 48, 69, P0
79.78, 98, 32, 70, P0
66.77, 95, 33, 70, P0
74.18, 88, 38, 70, P0
64.16, 97, 38, 70, P0
58.32, 96, 41, 70, P0
52.03, 99, 43, 70, P0
54.25, 93, 41, 69, P0
76.96, 98, 42, 69, P0
50.13, 100, 43, 69, P0
58.54, 98, 44, 70, P0
73.22, 99, 37, 70, P0
61.66, 98, 43, 70, P0
68.07, 95, 46, 69, P0
62.62, 98, 33, 69, P0
76.33, 95, 31, 70, P0
76.00, 87, 37, 69, P0
88.85, 97, 37, 69, P0
49.72, 96, 40, 70, P0
73.17, 99, 38, 69, P0
61.79, 98, 43, 69, P0
79.45, 95, 47, 69, P0
80.36, 98, 32, 69, P0
65.14, 95, 32, 70, P0
69.71, 88, 38, 70, P0
45.10, 97, 37, 69, P0
72.26, 96, 40, 70, P0
52.54, 99, 43, 69, P0
55.76, 93, 40, 69, P0
73.12, 98, 41, 69, P0
53.19, 99, 44, 69, P0
45.00, 99, 44, 70, P0
73.98, 99, 40, 70, P0
70.00, 98, 43, 69, P0
67.87, 95, 47, 70, P0
59.00, 98, 32, 70, P0
64.41, 95, 33, 70, P0
49.94, 88, 38, 69, P0
89.88, 97, 37, 69, P0
62.64, 98, 44, 70, P0
80.55, 99, 38, 69, P0
65.04, 98, 43, 69, P0
60.60, 96, 46, 69, P0
80.65, 98, 33, 69, P0
73.60, 95, 31, 70, P0
79.36, 88, 38, 70, P0
79.74, 97, 39, 70, P0
67.29, 96, 42, 69, P0
49.39, 100, 39, 69, P0
69.10, 92, 41, 70, P0
71.05, 98, 42, 69, P0
52.80, 100, 43, 69, P0
67.02, 98, 43, 70, P0
57.30, 99, 40, 69, P0
45.07, 98, 43, 70, P0
67.20, 96, 46, 69, P0
71.44, 98, 36, 69, P0
75.04, 96, 34, 70, P0
93.88, 88, 37, 70, P0
79.64, 98, 43, 70, P0
60.94, 94, 44, 70, P0
63.06, 99, 40, 69, P0
65.27, 97, 41, 69, P0
77.00, 97, 41, 69, P0
67.68, 98, 40, 69, P0
42.49, 96, 34, 70, P0
68.02, 89, 36, 69, P0
71.97, 99, 46, 69, P0
61.02, 94, 45, 69, P0
78.30, 99, 34, 70, P0
80.17, 92, 38, 69, P0
54.54, 95, 43, 69, P0
70.76, 98, 35, 70, P0
72.50, 98, 40, 69, P0
81.99, 99, 40, 69, P0
77.72, 96, 44, 69, P0
68.21, 97, 39, 69, P0
78.88, 99, 43, 69, P0
83.61, 97, 39, 69, P0
77.25, 100, 39, 69, P0
73.50, 99, 43, 69, P0
72.79, 98, 40, 69, P0
51.77, 99, 39, 69, P0
75.14, 97, 44, 69, P0
55.41, 98, 38, 69, P0
53.57, 99, 45, 69, P0
79.11, 97, 40, 70, P0
72.16, 99, 42, 69, P0
86.36, 98, 44, 70, P0
63.49, 94, 48, 69, P0
74.61, 99, 29, 69, P0
46.62, 94, 32, 69, P0
63.64, 88, 41, 69, P0
68.40, 97, 34, 69, P0
68.40, 97, 40, 69, P0
63.93, 99, 43, 69, P0
68.75, 94, 43, 69, P0
77.97, 98, 39, 69, P0
55.41, 99, 44, 69, P0
73.79, 98, 41, 69, P0
65.56, 99, 38, 69, P0
44.71, 98, 43, 70, P0
71.10, 96, 38, 69, P0
68.36, 99, 42, 70, P0
74.18, 93, 41, 69, P0
55.85, 98, 41, 69, P0
64.41, 99, 43, 69, P0
58.87, 98, 44, 70, P0
82.32, 99, 37, 70, P0
47.87, 98, 43, 69, P0
72.35, 95, 46, 69, P0
68.46, 98, 32, 69, P0
77.82, 95, 32, 69, P0
70.91, 88, 38, 70, P0
