PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,21.7,10.5,13296,R,7282,2.8
20,0,21.7,10.5,13296,R,7219,2.8
20,0,21.7,10.5,13296,R,7610,2.8
20,0,21.7,10.5,13296,R,7429,2.8
20,0,21.7,10.5,13296,R,7401,2.8
20,0,21.7,10.5,13296,R,7356,2.8
20,0,21.8,10.5,13296,R,7228,2.8
20,0,21.7,10.5,13296,R,7431,2.8
20,0,21.7,10.5,13296,R,7305,2.8
20,0,21.7,10.5,13296,R,7099,2.8
20,0,21.7,10.5,13296,R,7421,2.8
20,0,21.7,10.5,13296,R,7161,2.8
20,0,21.7,10.5,13296,R,7476,2.8
20,0,21.8,10.5,13296,R,7143,2.8
20,0,21.7,10.5,13296,R,7166,2.8
20,0,21.7,10.5,13296,R,7275,2.8
20,0,21.8,10.5,13296,R,7309,2.8
20,0,21.7,10.5,13296,R,7297,2.8
20,0,21.7,10.5,13296,R,7247,2.8
20,0,21.7,10.5,13296,R,7217,2.8
20,0,21.8,10.5,13296,R,7192,2.8
20,0,21.8,10.5,13296,R,7446,2.8
20,0,21.7,10.5,13296,R,7310,2.8
20,0,21.7,10.5,13296,R,7230,2.8
20,0,21.7,10.5,13296,R,7456,2.8
20,0,21.7,10.5,13296,R,7264,2.8
20,0,21.8,10.5,13296,R,7261,2.8
20,0,21.6,10.5,13296,R,5900,2.8
20,0,21.7,10.5,13296,R,7418,2.8
20,0,21.7,10.5,13296,R,7270,2.8
20,0,21.7,10.5,13296,R,7264,2.8
20,0,21.7,10.5,13296,R,7293,2.8
20,0,21.7,10.5,13296,R,7228,2.8
20,0,21.7,10.5,13296,R,7238,2.8
20,0,21.7,10.5,13296,R,7348,2.8
20,0,21.7,10.5,13296,R,7529,2.8
20,0,21.7,10.5,13296,R,7539,2.8
20,0,21.7,10.5,13296,R,7501,2.8
20,0,21.7,10.5,13296,R,7453,2.8
20,0,21.8,10.5,13296,R,7335,2.8
20,0,21.7,10.5,13296,R,7212,2.8
20,0,21.7,10.5,13296,R,7378,2.8
20,0,21.7,10.5,13296,R,7276,2.8
20,0,21.7,10.5,13296,R,7223,2.8
20,0,21.8,10.5,13296,R,7214,2.8
20,0,21.8,10.5,13296,R,7360,2.8
20,0,21.8,10.5,13296,R,7491,2.8
20,0,21.7,10.5,13296,R,7436,2.8
20,0,21.6,10.5,13296,R,6100,2.8
20,0,21.8,10.5,13296,R,7208,2.8
20,0,21.7,10.5,13296,R,7160,2.8
20,0,21.7,10.5,13296,R,7245,2.8
20,0,21.7,10.5,13296,R,7268,2.8
20,0,21.7,10.5,13296,R,7098,2.8
20,0,21.7,10.5,13296,R,7217,2.8
20,0,21.7,10.5,13296,R,7097,2.8
20,0,21.8,10.5,13296,R,7400,2.8
20,0,21.7,10.5,13296,R,7527,2.8
20,0,21.7,10.5,13296,R,7293,2.8
20,0,21.7,10.5,13296,R,7342,2.8
20,0,21.8,10.5,13296,R,7017,2.8
20,0,21.7,10.5,13296,R,7162,2.8
20,0,21.8,10.5,13296,R,7404,2.8
20,0,21.8,10.5,13296,R,7274,2.8
20,0,21.8,10.5,13296,R,7122,2.8
20,0,21.7,10.5,13296,R,7305,2.8
20,0,21.6,10.5,13296,R,6400,2.8
20,0,21.8,10.5,13296,R,7540,2.8
20,0,21.8,10.5,13296,R,7174,2.8
20,0,21.7,10.5,13296,R,7526,2.8
20,0,21.7,10.5,13296,R,7246,2.8
20,0,21.7,10.5,13296,R,7485,2.8
20,0,21.7,10.5,13296,R,7247,2.8
20,0,21.8,10.5,13296,R,7325,2.8
20,0,21.7,10.5,13296,R,7101,2.8
20,0,21.7,10.5,13296,R,7321,2.8
20,0,21.8,10.5,13296,R,7155,2.8
20,0,21.8,10.5,13296,R,7289,2.8
20,0,21.7,10.5,13296,R,7453,2.8
20,0,21.8,10.5,13296,R,7291,2.8
20,0,21.8,10.5,13296,R,7605,2.8
20,0,21.7,10.5,13296,R,7470,2.8
20,0,21.7,10.5,13296,R,7562,2.8
20,0,21.7,10.5,13296,R,7555,2.8
20,0,21.7,10.5,13296,R,7242,2.8
20,0,21.8,10.5,13296,R,7388,2.8
20,0,21.7,10.5,13296,R,7278,2.8
20,0,21.7,10.5,13296,R,7437,2.8
20,0,21.7,10.5,13296,R,7489,2.8
20,0,21.7,10.5,13296,R,7216,2.8
20,0,21.7,10.5,13296,R,7297,2.8
20,0,21.7,10.5,13296,R,7314,2.8
20,0,21.7,10.5,13296,R,7184,2.8
20,0,21.8,10.5,13296,R,7295,2.8
20,0,21.7,10.5,13296,R,7308,2.8
20,0,21.7,10.5,13296,R,7265,2.8
20,0,21.7,10.5,13296,R,7432,2.8
20,0,21.7,10.5,13296,R,7199,2.8
20,0,21.7,10.5,13296,R,7390,2.8
20,0,21.8,10.5,13296,R,7336,2.8
20,0,21.7,10.5,13296,R,7337,2.8
20,0,21.7,10.5,13296,R,7581,2.8
20,0,21.7,10.5,13296,R,7437,2.8
20,0,21.8,10.5,13296,R,7527,2.8
20,0,21.7,10.5,13296,R,7391,2.8
20,0,21.7,10.5,13296,R,7260,2.8
20,0,21.8,10.5,13296,R,7255,2.8
20,0,21.7,10.5,13296,R,7416,2.8
20,0,21.7,10.5,13296,R,7335,2.8
20,0,21.7,10.5,13296,R,7356,2.8
20,0,21.8,10.5,13296,R,7502,2.8
20,0,21.8,10.5,13296,R,7398,2.8
20,0,21.7,10.5,13296,R,7455,2.8
20,0,21.7,10.5,13296,R,7416,2.8
20,0,21.7,10.5,13296,R,7317,2.8
20,0,21.7,10.5,13296,R,7132,2.8
20,0,21.7,10.5,13296,R,7016,2.8
20,0,21.7,10.5,13296,R,7244,2.8
20,0,21.7,10.5,13296,R,7320,2.8
20,0,21.7,10.5,13296,R,7618,2.8
20,0,21.8,10.5,13296,R,7305,2.8
20,0,21.7,10.5,13296,R,7255,2.8
20,0,21.7,10.5,13296,R,7096,2.8
20,0,21.7,10.5,13296,R,7296,2.8
20,0,21.8,10.5,13296,R,6980,2.8
20,0,21.7,10.5,13296,R,7331,2.8
20,0,21.8,10.5,13296,R,7221,2.8
20,0,21.3,10.5,13296,S,2300,2.8
20,0,21.3,10.5,13296,R,1800,2.8
20,0,21.8,10.5,13296,R,7342,2.8
20,0,21.7,10.5,13296,R,7442,2.8
20,0,21.7,10.5,13296,R,7302,2.8
20,0,21.8,10.5,13296,R,7288,2.8
20,0,21.7,10.5,13296,R,7355,2.8
20,0,21.8,10.5,13296,R,7155,2.8
20,0,21.8,10.5,13296,R,7090,2.8
20,0,21.7,10.5,13296,R,7174,2.8
20,0,21.7,10.5,13296,R,7249,2.8
20,0,21.8,10.5,13296,R,7319,2.8
20,0,21.7,10.5,13296,R,7241,2.8
20,0,21.8,10.5,13296,R,7297,2.8
20,0,21.8,10.5,13296,R,7451,2.8
20,0,21.7,10.5,13296,R,7342,2.8
20,0,21.7,10.5,13296,R,7422,2.8
20,0,21.8,10.5,13296,R,7339,2.8
20,0,21.8,10.5,13296,R,7049,2.8
20,0,21.8,10.5,13296,R,7425,2.8
20,0,21.8,10.5,13296,R,7499,2.8
20,0,21.7,10.5,13296,R,7272,2.8
20,0,21.7,10.5,13296,R,7469,2.8
20,0,21.7,10.5,13296,R,7197,2.8
20,0,21.7,10.5,13296,R,7394,2.8
20,0,21.8,10.5,13296,R,7233,2.8
20,0,21.7,10.5,13296,R,7173,2.8
20,0,21.8,10.5,13296,R,7115,2.8
20,0,21.7,10.5,13296,R,7123,2.8
20,0,21.7,10.5,13296,R,7246,2.8
20,0,21.7,10.5,13296,R,7526,2.8
20,0,21.7,10.5,13296,R,7400,2.8
20,0,21.7,10.5,13296,R,7131,2.8
20,0,21.7,10.5,13296,R,7433,2.8
20,0,21.8,10.5,13296,R,7101,2.8
20,0,21.8,10.5,13296,R,7275,2.8
20,0,21.8,10.5,13296,R,7373,2.8
20,0,21.8,10.5,13296,R,7291,2.8
20,0,21.8,10.5,13296,R,7234,2.8
20,0,21.8,10.5,13296,R,7575,2.8
20,0,21.8,10.5,13296,R,7497,2.8
20,0,21.8,10.5,13296,R,7285,2.8
20,0,21.7,10.5,13296,R,7471,2.8
20,0,21.7,10.5,13296,R,7403,2.8
20,0,21.2,10.5,13296,R,600,2.8
20,0,21.7,10.5,13296,R,7120,2.8
20,0,21.7,10.5,13296,R,7217,2.8
20,0,21.8,10.5,13296,R,7313,2.8
20,0,21.7,10.5,13296,R,7342,2.8
20,0,21.7,10.5,13296,R,7204,2.8
20,0,21.7,10.5,13296,R,7483,2.8
20,0,21.7,10.5,13296,R,7224,2.8
20,0,21.7,10.5,13296,R,7344,2.8
20,0,21.4,10.5,13296,R,2700,2.8
20,0,21.7,10.5,13296,R,7314,2.8
20,0,21.7,10.5,13296,R,7244,2.8
20,0,21.8,10.5,13296,R,7274,2.8
20,0,21.7,10.5,13296,R,7096,2.8
20,0,21.7,10.5,13296,R,7612,2.8
20,0,21.8,10.5,13296,R,7417,2.8
20,0,21.7,10.5,13296,R,7372,2.8
20,0,21.7,10.5,13296,R,7188,2.8
20,0,21.7,10.5,13296,R,7165,2.8
20,0,21.7,10.5,13296,R,7252,2.8
20,0,21.8,10.5,13296,R,7239,2.8
20,0,21.5,10.5,13296,S,5200,2.8
20,0,21.7,10.5,13296,R,7453,2.8
20,0,21.7,10.5,13296,R,7267,2.8
20,0,21.7,10.5,13296,R,7100,2.8
20,0,21.8,10.5,13296,R,7265,2.8
20,0,21.7,10.5,13296,R,7578,2.8
20,0,21.7,10.5,13296,R,7251,2.8
20,0,21.8,10.5,13296,R,7316,2.8
20,0,21.8,10.5,13296,R,7306,2.8
20,0,21.8,10.5,13296,R,7447,2.8
20,0,21.7,10.5,13296,R,7095,2.8
20,0,21.7,10.5,13296,R,7426,2.8
20,0,21.7,10.5,13296,R,7129,2.8
20,0,21.7,10.5,13296,R,7505,2.8
20,0,21.8,10.5,13296,R,7168,2.8
20,0,21.7,10.5,13296,R,7279,2.8
20,0,21.7,10.5,13296,R,7560,2.8
20,0,21.7,10.5,13296,R,7200,2.8
20,0,21.7,10.5,13296,R,7237,2.8
20,0,21.7,10.5,13296,R,7270,2.8
20,0,21.7,10.5,13296,R,7359,2.8
20,0,21.7,10.5,13296,R,7706,2.8
20,0,21.7,10.5,13296,R,7378,2.8
20,0,21.7,10.5,13296,R,7254,2.8
20,0,21.8,10.5,13296,R,7560,2.8
20,0,21.7,10.5,13296,R,6985,2.8
20,0,21.7,10.5,13296,R,7200,2.8
20,0,21.7,10.5,13296,R,7204,2.8
20,0,21.8,10.5,13296,R,7284,2.8
20,0,21.7,10.5,13296,R,7366,2.8
20,0,21.8,10.5,13296,R,7347,2.8
20,0,21.7,10.5,13296,R,7264,2.8
20,0,21.8,10.5,13296,R,7354,2.8
20,0,21.7,10.5,13296,R,7321,2.8
20,0,21.7,10.5,13296,R,7450,2.8
20,0,21.7,10.5,13296,R,7459,2.8
20,0,21.8,10.5,13296,R,7406,2.8
20,0,21.8,10.5,13296,R,7407,2.8
20,0,21.8,10.5,13296,R,7173,2.8
20,0,21.8,10.5,13296,R,7297,2.8
20,0,21.7,10.5,13296,R,7435,2.8
20,0,21.7,10.5,13296,R,7090,2.8
20,0,21.7,10.5,13296,R,7130,2.8
20,0,21.7,10.5,13296,R,7298,2.8
20,0,21.7,10.5,13300,R,7351,2.8
20,0,21.8,10.5,13300,R,7307,2.8
20,0,21.7,10.5,13300,R,7293,2.8
20,0,21.8,10.5,13300,R,7111,2.8
20,0,21.8,10.5,13300,R,7632,2.8
20,0,21.8,10.5,13300,R,7083,2.8
20,0,21.8,10.5,13300,R,7347,2.8
20,0,21.7,10.5,13300,R,7635,2.8
20,0,21.7,10.5,13300,R,7248,2.8
