PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,21.3,10.6,13488,R,106.2,2.8
20,0,21.5,10.7,13488,R,99,2.9
20,0,21.5,10.7,13488,R,100,2.8
20,0,21.4,10.7,13488,R,101,2.8
20,0,21.4,10.6,13488,R,99,2.8
20,0,21.4,10.7,13488,R,100,2.8
20,0,21.4,10.7,13488,R,99,2.8
20,0,21.4,10.6,13488,R,100,2.8
20,0,21.4,10.6,13488,R,100,2.8
20,0,21.5,10.7,13488,R,99,2.8
20,0,21.5,10.7,13488,R,100,2.9
20,0,21.5,10.7,13488,R,100,2.8
20,0,21.5,10.7,13488,R,100,2.8
20,0,21.5,10.7,13488,R,100,2.8
20,0,21.5,10.7,13488,R,100,2.8
20,0,21.4,10.7,13488,R,99,2.8
20,0,21.4,10.7,13488,R,100,2.8
20,0,21.4,10.7,13488,R,100,2.8
20,0,21.4,10.7,13488,R,99,2.8
20,0,21.4,10.7,13488,R,99,2.8
20,0,21.4,10.6,13488,R,101,2.8
20,0,21.4,10.6,13488,R,100,2.8
20,0,21.4,10.6,13488,R,99,2.8
20,0,21.4,10.6,13488,R,99,2.8
20,0,21.4,10.6,13488,R,101,2.8
20,0,21.5,10.7,13488,R,100,2.9
20,0,21.4,10.6,13488,R,99,2.8
20,0,21.5,10.7,13488,R,99,2.8
20,0,21.5,10.7,13488,R,101,2.8
20,0,21.4,10.7,13488,R,99,2.8
20,0,21.4,10.6,13488,R,99,2.8
20,0,21.4,10.6,13488,R,101,2.8
20,0,21.4,10.6,13488,R,99,2.8
20,0,21.4,10.6,13488,R,101,2.8
20,0,21.4,10.6,13488,R,98.1,2.8
20,0,21.4,10.6,13488,R,100,2.8
20,0,21.4,10.6,13488,R,100,2.8
20,0,21.5,10.7,13488,R,101,2.9
20,0,21.4,10.6,13488,R,100,2.8
20,0,21.5,10.7,13488,R,98.1,2.8
20,0,21.5,10.7,13488,R,100,2.8
20,0,21.4,10.7,13488,R,100,2.8
20,0,21.3,10.6,13488,R,100,2.8
20,0,21.2,10.5,13492,R,100,2.8
20,0,21.4,10.6,87160,R,99,2.8
20,0,21.3,10.6,13492,R,100,2.8
20,0,21.4,10.6,13492,R,100,2.8
20,0,21.5,10.8,13492,R,100,2.9
20,0,21.5,10.8,13492,R,100,2.9
20,0,21.5,10.8,13492,R,99,2.9
20,0,21.5,10.7,13492,R,100,2.9
20,0,21.5,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.4,10.7,13492,R,101,2.8
20,0,21.5,10.8,13492,R,99,2.9
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.5,10.8,13492,R,99,2.9
20,0,21.5,10.8,13492,R,101,2.9
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.5,10.7,13492,R,99,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.6,13492,R,100,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,101,2.8
20,0,21.4,10.7,13492,R,98.1,2.8
20,0,21.5,10.8,13492,R,100,2.9
20,0,21.5,10.7,13492,R,100,2.9
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.4,10.6,13492,R,100,2.8
20,0,21.4,10.6,13492,R,100,2.8
20,0,21.5,10.7,13492,R,100,2.9
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.5,10.8,13492,R,100,2.9
20,0,21.5,10.8,13492,R,99,2.9
20,0,21.5,10.7,13492,R,101,2.8
20,0,21.5,10.7,13492,R,98.1,2.9
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.5,10.8,13492,R,99,2.9
20,0,21.5,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,101,2.8
20,0,21.4,10.6,13492,R,100,2.8
20,0,21.5,10.7,13492,R,99,2.9
20,0,21.5,10.7,13492,R,99,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.5,10.7,13492,R,101,2.9
20,0,21.5,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.5,10.8,13492,R,100,2.9
20,0,21.5,10.8,13492,R,99,2.9
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.4,10.6,13492,R,100,2.8
20,0,21.4,10.6,13492,R,100,2.8
20,0,21.5,10.7,13492,R,100,2.9
20,0,21.4,10.7,13492,R,98.1,2.8
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.5,10.8,13492,R,100,2.9
20,0,21.4,10.7,13492,R,100,2.8
20,0,21.3,10.6,13492,R,99,2.8
20,0,21.2,10.5,13492,R,100,2.8
20,0,21.4,10.6,87160,R,100,2.8
20,0,21.3,10.6,13492,R,101,2.8
20,0,21.4,10.7,13492,R,99,2.8
20,0,21.5,10.7,13492,R,99,2.8
20,0,21.5,10.7,13492,R,100,2.8
20,0,21.5,10.8,13492,R,100,2.9
20,0,21.5,10.7,13492,R,100,2.8
20,0,21.5,10.7,13492,R,99,2.9
