PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,44.8,19.7,95068,S,6457,5.2
20,0,44.8,19.7,95068,S,7941,5.2
20,0,44.8,19.7,95068,S,7997,5.2
20,0,44.8,19.7,95068,S,8000,5.2
20,0,44.8,19.7,95068,S,7867,5.2
20,0,44.8,19.7,95068,S,8000,5.2
20,0,44.8,19.7,95096,S,7879,5.2
20,0,44.8,19.7,95096,S,7967,5.2
20,0,44.8,19.7,95096,S,8000,5.2
20,0,44.8,19.7,95096,S,7803,5.2
20,0,44.8,19.7,95096,S,7982,5.2
20,0,44.8,19.7,95096,S,7980,5.2
20,0,44.8,19.7,95096,S,7924,5.2
20,0,44.8,19.7,95168,S,7913,5.2
20,0,44.8,19.7,95168,S,7988,5.2
20,0,44.8,19.7,95168,S,7841,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7861,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7967,5.2
20,0,44.8,19.7,95168,S,7863,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7874,5.2
20,0,44.8,19.7,95168,S,7941,5.2
20,0,44.8,19.7,95168,S,7903,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7814,5.2
20,0,44.8,19.7,95168,S,7894,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7970,5.2
20,0,44.8,19.7,95168,S,7770,5.2
20,0,44.8,19.7,95168,S,7957,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7875,5.2
20,0,44.8,19.7,95168,S,7890,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7842,5.2
20,0,44.8,19.7,95168,S,7905,5.2
20,0,44.8,19.7,95168,S,7858,5.2
20,0,44.8,19.7,95168,S,7899,5.2
20,0,44.8,19.7,95168,S,7935,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7925,5.2
20,0,44.8,19.7,95168,S,7972,5.2
20,0,44.8,19.7,95168,S,7903,5.2
20,0,44.8,19.7,95168,S,7826,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7943,5.2
20,0,44.8,19.7,95168,S,7907,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7811,5.2
20,0,44.8,19.7,95168,S,7973,5.2
20,0,44.8,19.7,95168,S,7893,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7892,5.2
20,0,44.8,19.7,95168,S,7980,5.2
20,0,44.8,19.7,95168,S,7868,5.2
20,0,44.8,19.7,95168,S,8000,5.2
20,0,44.8,19.7,95168,S,7853,5.2
20,0,44.8,19.7,95168,S,7934,5.2
20,0,44.8,19.8,95168,S,8000,5.2
20,0,44.8,19.8,95168,S,7671,5.2
20,0,44.8,19.8,95168,S,7883,5.2
20,0,44.8,19.8,95168,S,7991,5.2
20,0,44.8,19.8,95168,S,7558,5.2
20,0,44.8,19.8,95168,S,7764,5.3
20,0,44.8,19.8,95168,S,7533,5.3
20,0,44.8,19.8,95168,S,7764,5.3
20,0,44.8,19.8,95168,S,7042,5.3
20,0,44.8,19.8,95168,S,7714,5.3
20,0,44.8,19.8,95168,S,7587,5.3
20,0,44.8,19.8,95168,S,7714,5.3
20,0,44.8,19.8,95168,S,7587,5.3
20,0,44.8,19.8,95168,S,7177,5.3
20,0,44.8,19.8,95168,S,7716,5.3
20,0,44.8,19.8,95168,S,7841,5.3
20,0,44.8,19.8,95168,S,7772,5.3
20,0,44.8,19.8,95168,S,7605,5.3
20,0,44.8,19.8,95168,S,7679,5.3
20,0,44.8,19.8,95168,S,7310,5.3
20,0,44.8,19.8,95168,S,7838,5.3
20,0,44.8,19.8,95168,S,7439,5.3
20,0,44.8,19.8,95168,S,7637,5.3
20,0,44.8,19.8,95168,S,8000,5.3
20,0,44.8,19.8,95168,S,7660,5.3
20,0,44.8,19.8,95168,S,6945,5.3
20,0,44.8,19.8,95168,S,7592,5.3
20,0,44.8,19.8,95168,S,7223,5.3
20,0,44.8,19.8,95168,S,6871,5.3
20,0,44.8,19.8,95168,S,7158,5.3
