PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,18.6,757236,94128,R,5275,0.2
20,0,18.6,757440,94128,S,7536,0.2
20,0,18.6,757584,94128,R,6069,0.2
20,0,18.6,757476,94128,S,7827,0.2
20,0,18.6,757472,94128,R,7473,0.2
20,0,18.6,757476,94128,R,7663,0.2
20,0,18.6,757520,94128,S,7320,0.2
20,0,18.5,684748,94132,R,6491,0.2
20,0,18.6,757772,94140,R,7388,0.2
20,0,18.6,757896,94140,S,7531,0.2
20,0,18.6,758072,94140,R,7503,0.2
20,0,18.6,736856,94140,R,7799,0.2
20,0,18.6,758076,94140,R,6694,0.2
20,0,18.6,758076,94140,R,7593,0.2
20,0,18.6,758200,94140,S,7476,0.2
20,0,18.6,716808,94140,R,7430,0.2
20,0,18.6,758196,94140,R,6979,0.2
20,0,18.6,758208,94140,S,7390,0.2
20,0,18.6,758208,94140,R,7125,0.2
20,0,18.6,745192,94140,R,7843,0.2
20,0,18.6,758344,94140,R,7545,0.2
20,0,18.6,758344,94140,S,7293,0.2
20,0,18.6,758344,94140,R,7327,0.2
20,0,18.6,758348,94140,S,7014,0.2
20,0,18.6,751664,94140,R,7450,0.2
20,0,18.6,758540,94140,S,7163,0.2
20,0,18.6,758540,94140,R,7587,0.2
20,0,18.6,758536,94140,R,7633,0.2
20,0,18.6,758668,94140,S,6781,0.2
20,0,18.6,758572,94140,R,7538,0.2
20,0,18.6,758732,94140,S,6473,0.2
20,0,18.6,758604,94140,R,7702,0.2
20,0,18.6,758604,94140,S,8000,0.2
20,0,18.6,758608,94140,R,7010,0.2
20,0,18.6,729212,94140,R,6753,0.2
20,0,18.6,758744,94144,R,7585,0.2
20,0,18.6,758740,94144,S,7296,0.2
20,0,18.5,690728,94144,R,7476,0.2
20,0,18.6,758776,94144,S,7465,0.2
20,0,18.6,758776,94144,R,6947,0.2
20,0,18.6,758780,94144,S,7555,0.2
20,0,18.6,758780,94144,R,7419,0.2
20,0,18.6,758848,94144,S,7401,0.2
20,0,18.6,758980,94144,R,7375,0.2
20,0,18.6,724828,94144,R,6831,0.2
20,0,18.6,719508,94144,R,7471,0.2
20,0,18.6,758852,94144,R,7205,0.2
20,0,18.6,758908,94144,S,7549,0.2
20,0,18.6,719588,94144,R,7057,0.2
20,0,18.6,717536,94144,R,6613,0.2
20,0,18.6,724932,94144,R,7461,0.2
20,0,18.6,745936,94144,R,7580,0.2
20,0,18.6,758956,94144,S,7319,0.2
20,0,18.6,758956,94144,S,7201,0.2
20,0,18.6,758960,94144,R,6744,0.2
20,0,18.5,690948,94144,R,7458,0.2
20,0,18.5,688120,94144,R,7262,0.2
20,0,18.6,758960,94144,S,7422,0.2
20,0,18.6,758988,94144,R,7350,0.2
20,0,18.6,758984,94144,S,7601,0.2
20,0,18.6,758992,94144,S,7392,0.2
20,0,18.6,758992,94144,S,7403,0.2
20,0,18.6,758992,94144,S,7377,0.2
20,0,18.6,752120,94144,R,7414,0.2
20,0,18.6,758992,94144,S,7270,0.2
20,0,18.6,724968,94144,R,6887,0.2
20,0,18.6,735700,94144,R,7786,0.2
20,0,18.6,705316,94144,R,7473,0.2
20,0,18.6,707364,94144,R,7208,0.2
20,0,18.6,759000,94144,R,7454,0.2
20,0,18.6,759004,94144,S,6063,0.2
20,0,18.6,759004,94144,S,7140,0.2
20,0,18.6,715564,94144,R,7274,0.2
20,0,18.5,690988,94144,R,7383,0.2
20,0,18.6,759080,94144,S,7537,0.2
20,0,18.6,759004,94144,S,6736,0.2
20,0,18.6,759004,94144,R,7405,0.2
20,0,18.6,752132,94144,R,7697,0.2
20,0,18.6,759000,94144,S,7299,0.2
20,0,18.6,723756,94144,R,7401,0.2
20,0,18.5,663584,94144,R,6918,0.2
20,0,18.6,759000,94144,S,7479,0.2
20,0,18.6,758276,94144,R,7462,0.2
20,0,18.6,750084,94144,R,7443,0.2
20,0,18.6,759132,94144,S,7755,0.2
20,0,18.6,723756,94144,R,6944,0.2
20,0,18.6,759004,94144,R,7516,0.2
20,0,18.6,741888,94144,R,7532,0.2
20,0,18.6,750084,94144,R,7455,0.2
20,0,18.6,759132,94144,R,7474,0.2
20,0,18.6,759004,94144,R,7268,0.2
20,0,18.6,725504,94144,R,7482,0.2
20,0,18.6,759004,94144,S,7531,0.2
20,0,18.6,759000,94144,S,7786,0.2
20,0,18.6,759004,94144,S,7413,0.2
20,0,18.6,759080,94144,S,7356,0.2
20,0,18.6,729604,94144,R,6484,0.2
20,0,18.6,759004,94144,S,7414,0.2
20,0,18.6,759000,94144,S,7529,0.2
20,0,18.6,759132,94144,R,7741,0.2
20,0,18.6,759132,94144,S,7199,0.2
20,0,18.6,759000,94144,R,7306,0.2
20,0,18.6,748036,94144,R,7344,0.2
20,0,18.6,759004,94144,S,6984,0.2
20,0,18.6,759132,94144,R,7713,0.2
20,0,18.5,679968,94144,R,7212,0.2
20,0,18.6,759004,94144,R,6860,0.2
20,0,18.6,703276,94144,R,7205,0.2
20,0,18.6,725060,94144,R,7361,0.2
20,0,18.6,759132,94144,R,7400,0.2
20,0,18.6,759080,94144,S,7433,0.2
20,0,18.6,725496,94144,R,7127,0.2
20,0,18.5,656916,94144,R,7211,0.2
20,0,18.6,759080,94144,R,7623,0.2
20,0,18.5,682016,94144,R,7275,0.2
20,0,18.6,758996,94144,R,7370,0.2
20,0,18.5,690988,94144,R,6469,0.2
20,0,18.6,759132,94144,S,7675,0.2
20,0,18.6,753732,94144,R,7279,0.2
20,0,18.6,737796,94144,R,7429,0.2
20,0,18.6,759004,94144,S,6876,0.2
20,0,18.6,759000,94144,S,7030,0.2
20,0,18.6,759004,94144,S,7549,0.2
20,0,18.6,759000,94144,S,7524,0.2
20,0,18.6,735220,94144,R,7559,0.2
20,0,18.6,739336,94144,R,7352,0.2
20,0,18.6,759000,94144,S,6339,0.2
20,0,18.6,759080,94144,R,7613,0.2
20,0,18.6,727556,94144,R,7218,0.2
20,0,18.6,759000,94144,S,7439,0.2
20,0,18.6,759132,94144,R,7581,0.2
20,0,18.5,689420,94144,R,6811,0.2
20,0,18.6,759132,94144,S,7809,0.2
20,0,18.6,759080,94144,S,7857,0.2
20,0,18.6,759004,94144,R,7485,0.2
20,0,18.6,759000,94144,S,7306,0.2
20,0,18.6,759004,94144,S,6972,0.2
20,0,18.6,759132,94144,S,7250,0.2
20,0,18.6,749636,94144,R,7444,0.2
20,0,18.6,739840,94144,R,7620,0.2
20,0,18.6,757948,94144,R,7620,0.2
20,0,18.6,759004,94144,S,6765,0.2
20,0,18.6,759080,94144,S,7811,0.2
