power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
63.41,99,35,60, P0
41.88,99,46,61, P0
70.11,92,36,61, P0
64.54,94,51,62, P0
60.52,58,31,61, P0
70.31,100,36,62, P0
75.76,98,35,62, P0
83.4,93,36,62, P0
71.21,97,42,63, P0
37.24,55,30,63, P0
52.06,99,40,63, P0
82.24,98,34,64, P0
58.53,97,46,63, P0
74.75,97,41,64, P0
50.65,98,40,64, P0
61.1,99,41,65, P0
56.71,99,43,64, P0
60.1,97,43,64, P0
54.53,97,40,65, P0
69,98,39,65, P0
64.75,77,32,65, P0
50.94,99,41,66, P0
77.48,99,49,66, P0
71.5,97,41,66, P0
70.54,94,51,66, P0
78.91,72,30,67, P0
86.73,98,35,67, P0
58.47,98,48,67, P0
45.79,92,39,67, P0
70.2,92,48,67, P0
59.91,82,41,67, P0
49.94,100,38,68, P0
73.8,98,39,68, P0
75.62,93,43,68, P0
57.64,99,44,68, P0
52.03,97,45,68, P0
67.66,99,40,69, P0
48.27,100,42,68, P0
63.71,98,44,69, P0
75.28,99,43,69, P0
72.46,97,46,70, P0
65.59,99,38,70, P0
55.92,99,32,70, P0
78.15,99,44,70, P0
85.48,95,35,70, P0
71.31,95,49,70, P0
61,41,22,70, P0
75.14,99,34,71, P0
70.01,98,34,71, P0
68.1,87,33,71, P0
69.63,98,41,71, P0
39.18,82,40,71, P0
78.91,99,39,71, P0
54.82,98,38,71, P0
60.2,97,40,72, P0
86.38,98,44,72, P0
57.96,97,44,72, P0
66.85,99,40,72, P0
77.19,99,33,73, P0
69.63,99,43,72, P0
68.29,96,31,73, P0
69.63,97,47,73, P0
80.2,49,25,73, P0
90.47,99,30,73, P0
70.3,97,34,73, P0
51.32,94,35,73, P0
73.18,97,40,74, P0
40.22,52,27,73, P0
69.24,99,41,74, P0
62.62,98,36,74, P0
62.93,98,41,74, P0
62.94,99,42,75, P0
74.99,97,40,75, P0
65.63,99,39,74, P0
78.86,99,33,75, P0
72.84,99,44,75, P0
75.52,95,31,75, P0
75.76,95,47,75, P0
81.11,48,24,75, P0
62.56,99,33,76, P0
75.18,98,34,76, P0
71.49,93,35,76, P0
64.38,98,41,76, P0
41.47,88,42,75, P0
80.68,99,38,76, P0
52.74,100,39,76, P0
78.82,98,42,76, P0
77.19,98,43,77, P0
74.28,97,45,77, P0
70.5,100,38,77, P0
65.49,99,29,77, P0
78.15,99,43,77, P0
73.99,94,34,77, P0
66.37,95,49,77, P0
53.03,65,33,77, P0
63.23,100,35,78, P0
75.76,98,35,78, P0
51.87,93,41,78, P0
62.56,99,44,78, P0
48.43,98,45,77, P0
55.81,99,38,78, P0
62.5,100,43,78, P0
82.82,98,42,78, P0
57.58,98,41,78, P0
59.97,94,48,79, P0
76.38,87,35,78, P0
85.44,99,34,79, P0
61.1,99,45,78, P0
50.2,92,40,78, P0
71.55,94,44,79, P0
41.93,98,44,78, P0
58.31,99,41,79, P0
50.75,99,44,79, P0
65.17,94,43,79, P0
89.18,98,40,79, P0
63.27,98,38,79, P0
66.59,76,31,79, P0
64.04,98,41,79, P0
81.25,98,41,80, P0
83.49,96,33,80, P0
63.45,95,41,80, P0
94.54,48,24,79, P0
58.37,99,42,80, P0
83.76,97,32,80, P0
75.57,96,44,80, P0
59.37,98,39,80, P0
77.53,97,38,80, P0
55.37,99,38,80, P0
78.53,98,35,80, P0
62.18,99,42,80, P0
65.54,95,30,81, P0
65.97,95,46,81, P0
75.23,44,23,80, P0
82.14,100,35,81, P0
64.19,98,34,81, P0
46.17,92,35,81, P0
67.28,99,42,81, P0
54.12,98,44,80, P0
48.62,99,38,81, P0
70.01,100,42,80, P0
81.54,99,42,81, P0
66.47,98,40,81, P0
58.12,95,47,81, P0
69.53,84,34,81, P0
86.8,100,35,81, P0
72.79,99,43,81, P0
61.58,93,41,81, P0
76.43,95,43,81, P0
42,98,42,81, P0
70.64,99,41,81, P0
61.35,99,45,81, P0
77.91,97,44,81, P0
75.76,98,38,82, P0
72.6,98,37,81, P0
67.08,48,18,81, P0
69.96,99,31,81, P0
51.29,97,36,81, P0
49.88,95,34,81, P0
72.07,97,39,82, P0
42.77,61,31,81, P0
63.27,99,39,81, P0
51.68,98,36,82, P0
61.66,97,40,81, P0
76.71,98,42,82, P0
72.22,97,44,82, P0
67.37,100,38,82, P0
72.74,99,29,81, P0
69.87,99,43,82, P0
81.67,93,34,82, P0
71.45,91,46,82, P0
59.33,92,43,82, P0
51.68,99,40,81, P0
79.29,100,43,82, P0
65.49,94,40,81, P0
78.15,99,40,82, P0
56.29,98,38,82, P0
60.77,82,32,82, P0
64.97,99,40,82, P0
85.63,98,42,82, P0
94.64,96,32,82, P0
66.11,96,41,82, P0
94.35,49,23,82, P0
54.18,99,39,82, P0
96,98,33,82, P0
69.67,93,40,82, P0
77.1,99,41,82, P0
66.85,97,41,82, P0
60.1,99,39,82, P0
52.06,99,31,82, P0
84.35,98,42,82, P0
76.09,94,32,82, P0
58.25,95,48,82, P0
103.18,81,39,82, P0
54.69,100,38,82, P0
73.85,100,38,82, P0
50.55,93,40,82, P0
47.88,99,44,82, P0
75.66,98,40,82, P0
69.15,95,38,82, P0
68.1,99,40,82, P0
77.77,98,45,82, P0
83.01,96,32,82, P0
66.18,95,41,82, P0
61.16,48,24,82, P0
76.71,99,41,82, P0
82.29,97,32,82, P0
79.01,97,44,82, P0
70.64,98,39,82, P0
84.01,98,37,82, P0
64.5,99,37,82, P0
79.39,99,35,82, P0
50.97,99,42,82, P0
65.64,95,30,82, P0
73.27,95,46,82, P0
77.57,54,28,82, P0
64.34,100,33,82, P0
72.41,98,34,82, P0
46.92,93,40,82, P0
67.74,99,42,82, P0
53.86,98,43,81, P0
68.38,100,38,81, P0
72.22,99,45,82, P0
62.85,99,43,82, P0
76.96,97,39,82, P0
71.17,95,50,82, P0
64.25,62,25,81, P0
68.1,100,38,82, P0
74.71,97,39,82, P0
72.27,93,40,81, P0
65.88,97,37,82, P0
48.82,98,40,81, P0
60.45,99,39,82, P0
63.58,99,40,81, P0
85.76,97,40,81, P0
63.42,97,31,81, P0
69.58,98,44,82, P0
80.2,49,25,81, P0
92.12,99,29,82, P0
72.79,97,31,81, P0
71.6,93,34,81, P0
78.29,98,40,81, P0
42.22,87,41,81, P0
81.06,99,37,81, P0
49.3,100,43,81, P0
68.14,99,42,81, P0
50.01,99,40,81, P0
56.74,94,47,81, P0
72.21,89,35,81, P0
74.28,100,34,81, P0
57.16,99,45,81, P0
55.59,93,40,81, P0
79.53,92,40,81, P0
42.19,98,43,81, P0
55.65,99,41,81, P0
55.14,99,45,81, P0
62.94,97,44,81, P0
69.3,97,39,81, P0
61.18,98,38,81, P0
74.66,60,24,81, P0
70.54,98,34,81, P0
64.92,97,38,81, P0
51.97,95,31,81, P0
65.01,96,37,81, P0
44.38,58,31,81, P0
59.47,98,39,80, P0
58.76,98,35,81, P0
51.55,97,40,80, P0
78.82,98,42,81, P0
67.22,97,44,81, P0
66.65,100,39,81, P0
72.6,99,30,80, P0
76.19,99,43,81, P0
75.28,93,35,81, P0
65.82,95,47,81, P0
57.54,90,42,80, P0
51.58,100,41,81, P0
79.67,100,43,81, P0
69.14,94,41,81, P0
76.91,98,42,80, P0
69.19,98,38,81, P0
68.43,82,32,80, P0
51.23,99,39,81, P0
83.25,99,43,80, P0
77.38,95,32,80, P0
62.5,95,41,80, P0
80.06,47,23,80, P0
82.87,99,41,80, P0
73.41,97,32,80, P0
80.16,97,44,80, P0
68.86,97,39,80, P0
77.43,97,38,80, P0
61.35,99,37,80, P0
76.57,98,33,80, P0
63.62,99,42,80, P0
65.01,95,32,80, P0
74.75,95,47,80, P0
84.2,51,27,80, P0
75.33,100,33,80, P0
65.93,98,35,80, P0
47.21,92,39,80, P0
66.65,99,42,80, P0
58.12,98,43,79, P0
50.62,99,39,80, P0
67.18,100,44,79, P0
81.1,99,43,80, P0
66.6,98,40,80, P0
65.67,94,48,80, P0
74.75,75,30,80, P0
86.43,100,35,79, P0
71.64,98,42,79, P0
