power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
68.08,89,85.3832891246684,69, P0
59.85,100,53.3832891246684,69, P0
59.93,100,49.3832891246684,69, P0
72.08,100,59.3832891246684,69, P0
66.67,100,52.3832891246684,69, P0
53.38,100,56.3832891246684,69, P0
56.81,100,58.3832891246684,69, P0
69.58,98,65.3832891246684,69, P0
81.77,100,57.3832891246684,69, P0
59.56,100,64.3832891246684,69, P0
66.84,97,70.3832891246684,69, P0
74.75,100,62.3832891246684,69, P0
67.04,100,65.3832891246684,69, P0
70.17,100,53.3832891246684,69, P0
78.1,100,62.3832891246684,69, P0
64.06,100,45.3832891246684,70, P0
60.54,95,51.3832891246684,69, P0
78.77,100,54.3832891246684,69, P0
76.19,99,56.3832891246684,69, P0
59.52,93,50.3832891246684,69, P0
74.9,100,53.3832891246684,69, P0
58.08,99,58.3832891246684,69, P0
75.38,100,53.3832891246684,69, P0
67.04,100,49.3832891246684,69, P0
52.83,98,50.3832891246684,69, P0
72.94,100,53.3832891246684,69, P0
85.95,99,56.3832891246684,70, P0
61.6,93,50.3832891246684,70, P0
78.53,100,54.3832891246684,69, P0
61,99,59.3832891246684,70, P0
67.67,100,53.3832891246684,69, P0
73.51,100,49.3832891246684,70, P0
53.54,99,51.3832891246684,69, P0
77.96,100,54.3832891246684,69, P0
79.1,99,56.3832891246684,69, P0
65.88,90,49.3832891246684,70, P0
80.1,100,54.3832891246684,69, P0
59.04,99,58.3832891246684,70, P0
69.72,100,53.3832891246684,69, P0
82.96,100,49.3832891246684,69, P0
57.12,100,49.3832891246684,69, P0
71.79,100,53.3832891246684,69, P0
83.3,99,54.3832891246684,70, P0
67.47,88,46.3832891246684,70, P0
79.11,100,55.3832891246684,69, P0
67.18,99,58.3832891246684,70, P0
71.02,100,53.3832891246684,70, P0
81.35,100,49.3832891246684,69, P0
58.54,100,48.3832891246684,69, P0
66.03,100,53.3832891246684,69, P0
79.35,99,54.3832891246684,70, P0
82.78,92,51.3832891246684,69, P0
81.81,100,56.3832891246684,69, P0
58.7,99,56.3832891246684,70, P0
70.68,100,53.3832891246684,70, P0
72.75,100,49.3832891246684,69, P0
54.12,99,49.3832891246684,69, P0
69.77,100,53.3832891246684,69, P0
67.14,99,54.3832891246684,70, P0
89.88,92,52.3832891246684,69, P0
72.07,100,56.3832891246684,69, P0
66.26,99,56.3832891246684,70, P0
66.8,100,50.3832891246684,70, P0
58.89,100,54.3832891246684,69, P0
61.89,100,50.3832891246684,69, P0
70.54,100,52.3832891246684,69, P0
77.53,99,53.3832891246684,70, P0
84.71,95,51.3832891246684,70, P0
54.69,100,56.3832891246684,70, P0
76.19,99,59.3832891246684,69, P0
69.97,100,51.3832891246684,70, P0
59.14,100,54.3832891246684,69, P0
55.85,100,51.3832891246684,69, P0
60.31,100,53.3832891246684,70, P0
66.07,99,52.3832891246684,70, P0
66.32,97,50.3832891246684,69, P0
60.43,100,56.3832891246684,70, P0
74.18,99,56.3832891246684,69, P0
67.95,100,53.3832891246684,70, P0
52.06,100,53.3832891246684,70, P0
68.96,100,54.3832891246684,69, P0
59.97,100,54.3832891246684,70, P0
76.24,99,50.3832891246684,70, P0
63.96,96,50.3832891246684,70, P0
67.8,100,56.3832891246684,70, P0
74.47,99,56.3832891246684,70, P0
74.9,100,48.3832891246684,69, P0
59.85,99,32.3832891246684,70, P0
63.33,99,35.3832891246684,69, P0
73.61,99,37.3832891246684,69, P0
80.29,99,39.3832891246684,70, P0
64.01,100,38.3832891246684,69, P0
67.37,99,31.3832891246684,70, P0
74.61,79,25.3832891246684,70, P0
70.06,99,39.3832891246684,70, P0
60.77,99,38.3832891246684,69, P0
68.1,98,37.3832891246684,69, P0
64.06,99,36.3832891246684,69, P0
70.01,78,25.3832891246684,69, P0
79.34,100,35.3832891246684,70, P0
78.24,99,38.3832891246684,69, P0
51.29,99,31.3832891246684,70, P0
67.14,81,32.3832891246684,69, P0
45.98,99,42.3832891246684,69, P0
49.37,99,36.3832891246684,69, P0
69.34,78,28.3832891246684,69, P0
87.48,99,39.3832891246684,69, P0
64.71,87,35.3832891246684,69, P0
76.52,99,29.3832891246684,69, P0
71.5,99,35.3832891246684,70, P0
38.86,99,39.3832891246684,69, P0
80.19,99,39.3832891246684,69, P0
73.7,98,37.3832891246684,69, P0
71.6,99,33.3832891246684,69, P0
62.89,73,23.3832891246684,69, P0
