PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,40.3,10.4,12400,R,3588,2.8
20,0,40.3,10.4,12400,R,792.6,2.8
20,0,40.3,10.6,12400,R,2054,2.8
20,0,40.3,10.6,12400,S,766.7,2.8
20,0,40.3,10.8,12400,R,3300,2.9
20,0,40.3,11.2,12416,R,3941,3
20,0,40.3,11.2,12416,S,826.9,3
20,0,40.3,11.3,12416,R,1932,3
20,0,40.3,12,12448,R,2615,3.2
20,0,40.3,12,12448,R,807.4,3.2
20,0,40.3,12,12448,R,775,3.2
20,0,40.3,12,12448,R,792.6,3.2
20,0,40.3,12,12448,R,792.6,3.2
20,0,40.3,12,12448,R,823.1,3.2
20,0,40.3,12,12448,R,411.1,3.2
20,0,40.3,12.2,12448,R,2963,3.2
20,0,40.3,13.6,12452,R,3781,3.6
20,0,40.3,13.6,12452,R,781.5,3.6
20,0,40.3,13.6,12452,R,777.8,3.6
20,0,40.3,13.6,12452,R,811.5,3.6
20,0,40.3,13.6,12452,R,819.2,3.6
20,0,40.3,13.6,12452,R,785.2,3.6
20,0,40.3,13.6,12452,R,777.8,3.6
20,0,40.3,13.6,12452,R,830.8,3.6
20,0,40.3,13.6,12452,R,781.5,3.6
20,0,40.3,13.6,12452,R,826.9,3.6
20,0,40.3,13.6,12452,R,788.9,3.6
20,0,40.3,13.6,12452,R,785.2,3.6
20,0,40.3,13.6,12452,R,796.3,3.6
20,0,40.3,13.6,12452,R,823.1,3.6
20,0,40.3,13.6,12452,R,796.3,3.6
20,0,40.5,13.8,12452,R,800,3.7
20,0,40.3,13.7,12452,S,566.7,3.6
20,0,40.3,13.6,12452,S,163,3.6
20,0,40.3,13.6,12452,S,103.7,3.6
20,0,40.3,13.7,12452,S,100,3.6
20,0,40.3,13.6,12452,R,4130,3.6
20,0,40.3,14,12452,R,2738,3.7
20,0,40.3,14,12452,R,796.3,3.7
20,0,40.3,14,12452,R,785.2,3.7
20,0,40.3,14,12452,S,774.1,3.7
20,0,40.3,14,12452,S,140.7,3.7
20,0,40.3,14,12452,S,100,3.7
20,0,40.3,14,12452,R,3978,3.7
20,0,40.3,16.9,12452,R,3304,4.5
20,0,40.3,16.9,12452,R,792.6,4.5
20,0,40.3,16.9,12452,R,792.6,4.5
20,0,40.3,16.9,12452,R,777.8,4.5
20,0,40.3,16.9,12452,R,807.7,4.5
20,0,40.3,16.9,12452,R,823.1,4.5
20,0,40.3,16.9,12452,R,785.2,4.5
20,0,40.3,16.9,12452,R,788.9,4.5
20,0,40.3,16.9,12452,R,819.2,4.5
20,0,40.3,16.9,12452,R,781.5,4.5
20,0,40.3,16.9,12452,R,823.1,4.5
20,0,40.3,16.9,12452,R,800,4.5
20,0,40.3,16.9,12452,R,800,4.5
20,0,40.3,16.9,12452,R,781.5,4.5
20,0,40.3,16.9,12452,R,781.5,4.5
20,0,40.3,16.9,12452,R,830.8,4.5
20,0,40.3,16.9,12452,R,777.8,4.5
20,0,40.3,16.9,12452,R,777.8,4.5
20,0,40.3,16.9,12452,R,811.5,4.5
20,0,40.3,16.9,12452,R,803.7,4.5
20,0,40.3,16.9,12452,R,796.3,4.5
20,0,40.3,16.9,12452,R,785.2,4.5
