PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,46.6,11.4,12408,R,2172,3
20,0,46.6,11.6,12408,R,1267,3.1
20,0,46.6,11.9,12408,R,1519,3.2
20,0,46.6,11.9,12408,R,1157,3.2
20,0,46.6,12.1,12408,R,1874,3.2
20,0,46.6,12.3,12408,S,2111,3.3
20,0,46.6,12.5,12408,R,3315,3.3
20,0,46.6,12.9,12424,R,2954,3.4
20,0,46.6,13,12424,R,1356,3.4
20,0,46.6,13.9,12456,R,1807,3.7
20,0,46.6,13.9,12456,R,974.1,3.7
20,0,46.6,13.9,12456,R,1031,3.7
20,0,46.6,13.9,12456,R,981.5,3.7
20,0,46.6,13.9,12456,R,1019,3.7
20,0,46.6,13.9,12456,S,996.3,3.7
20,0,46.6,13.9,12456,S,633.3,3.7
20,0,46.6,14.1,12456,R,2378,3.8
20,0,46.6,15.9,12456,R,2300,4.2
20,0,46.6,15.9,12456,R,970.4,4.2
20,0,46.6,15.9,12456,R,1008,4.2
20,0,46.6,15.9,12456,R,981.5,4.2
20,0,46.6,15.9,12456,R,1038,4.2
20,0,46.6,15.9,12456,R,996.3,4.2
20,0,46.6,15.9,12456,R,977.8,4.2
20,0,46.6,15.9,12456,R,970.4,4.2
20,0,46.6,15.9,12456,R,1023,4.2
20,0,46.6,15.9,12456,R,1000,4.2
20,0,46.6,15.9,12456,R,974.1,4.2
20,0,46.6,15.9,12456,R,1019,4.2
20,0,46.6,15.9,12456,R,985.2,4.2
20,0,46.6,15.9,12456,R,1008,4.2
20,0,46.6,15.9,12456,R,1012,4.2
20,0,46.8,16.2,12456,R,981.5,4.3
20,0,46.7,16,12456,S,792.3,4.3
20,0,46.6,16.4,12456,R,1622,4.4
20,0,46.6,16.4,12456,R,981.5,4.4
20,0,46.6,16.4,12456,R,1019,4.4
20,0,46.6,16.4,12456,R,1000,4.4
20,0,46.6,20,12456,R,2478,5.3
20,0,46.6,20,12456,R,977.8,5.3
20,0,46.6,20,12456,R,1004,5.3
20,0,46.6,20,12456,R,1008,5.3
20,0,46.6,20,12456,R,974.1,5.3
20,0,46.6,20,12456,R,1012,5.3
20,0,46.6,20,12456,R,1023,5.3
20,0,46.6,20,12456,R,988.9,5.3
20,0,46.6,20,12456,R,966.7,5.3
20,0,46.6,20,12456,R,1015,5.3
20,0,46.6,20,12456,R,1008,5.3
20,0,46.6,20,12456,R,974.1,5.3
20,0,46.6,20,12456,R,1012,5.3
20,0,46.6,20,12456,R,1031,5.3
20,0,46.6,20,12456,R,974.1,5.3
20,0,46.6,20,12456,R,977.8,5.3
20,0,46.6,20,12456,R,1008,5.3
20,0,46.6,20,12456,R,1015,5.3
20,0,46.6,20,12456,R,981.5,5.3
20,0,46.6,20,12456,R,1027,5.3
20,0,46.6,20,12456,R,977.8,5.3
20,0,46.6,20,12456,R,1004,5.3
20,0,46.6,20,12456,R,985.2,5.3
20,0,46.6,20,12456,R,1027,5.3
20,0,46.6,20,12456,R,981.5,5.3
20,0,46.6,20,12456,R,992.6,5.3
20,0,46.6,20,12456,R,970.4,5.3
20,0,46.6,20,12456,R,1023,5.3
20,0,46.6,20,12456,R,985.2,5.3
20,0,46.6,20,12456,R,1031,5.3
20,0,47,20.2,12456,R,992.6,5.4
20,0,47.7,20.9,12456,R,970.4,5.6
20,0,47.3,20.7,12456,R,703.7,5.5
20,0,46.6,20,12456,R,544.4,5.3
20,0,46.6,21,12456,R,2056,5.6
20,0,46.6,21,12456,R,996.3,5.6
20,0,46.6,21,12456,R,1004,5.6
20,0,46.6,21,12456,R,985.2,5.6
20,0,46.6,21,12456,R,988.9,5.6
20,0,46.6,21,12456,R,1012,5.6
20,0,46.6,21,12456,S,974.1,5.6
20,0,46.6,21,12456,S,585.2,5.6
20,0,46.6,21.6,12456,R,2358,5.7
20,0,46.6,22.6,12456,R,2448,6
20,0,46.6,22.6,12456,R,1038,6
20,0,46.6,22.6,12456,R,1004,6
20,0,46.6,22.6,12456,R,950,6
20,0,46.6,22.6,12456,R,1031,6
20,0,46.6,22.6,12456,R,970.4,6
20,0,46.6,22.6,12456,R,1012,6
20,0,46.6,22.7,12456,S,722.2,6
20,0,46.6,23.4,12456,R,2444,6.2
20,0,46.6,23.9,12456,R,1642,6.4
20,0,46.6,23.9,12456,R,1019,6.4
20,0,46.6,23.9,12456,R,992.6,6.4
20,0,46.6,23.9,12456,R,970.4,6.4
20,0,46.6,24,12456,S,769.2,6.4
20,0,46.6,24.6,12456,R,3530,6.5
20,0,46.6,24.8,12456,R,2481,6.6
20,0,46.6,25,12456,R,3577,6.6
20,0,46.6,25.4,12456,R,2363,6.7
20,0,46.6,25.4,12456,R,981.5,6.7
20,0,46.6,25.5,12456,R,1665,6.8
20,0,46.6,26.6,12456,R,2007,7.1
20,0,46.6,26.6,12456,R,981.5,7.1
20,0,46.6,26.6,12456,R,1015,7.1
20,0,46.6,26.6,12456,R,1000,7.1
20,0,46.6,26.6,12456,R,981.5,7.1
20,0,46.6,26.6,12456,R,1000,7.1
20,0,46.6,26.6,12456,R,992.6,7.1
20,0,46.6,26.6,12456,S,896.2,7.1
20,0,46.6,26.8,12456,R,1693,7.1
20,0,46.6,27.2,12456,R,2792,7.2
20,0,46.6,29,12456,R,1181,7.7
20,0,46.6,29,12456,R,1000,7.7
20,0,46.6,29,12456,R,977.8,7.7
20,0,46.6,29,12456,R,992.6,7.7
20,0,46.6,29,12456,R,1035,7.7
20,0,46.6,29,12456,R,992.6,7.7
20,0,46.6,29,12456,R,985.2,7.7
20,0,46.6,29,12456,R,977.8,7.7
20,0,46.6,29,12456,R,1012,7.7
20,0,46.6,29,12456,R,970.4,7.7
20,0,46.6,29,12456,R,1008,7.7
20,0,46.6,29,12456,R,1031,7.7
20,0,46.6,29,12456,R,1000,7.7
20,0,46.6,29,12456,R,970.4,7.7
20,0,46.6,29,12456,R,985.2,7.7
20,0,46.6,29,12456,R,1035,7.7
20,0,46.6,29,12456,R,1004,7.7
20,0,46.6,29,12456,R,996.3,7.7
20,0,46.7,29.1,12456,R,988.9,7.7
20,0,46.8,29.2,12456,R,970.4,7.8
20,0,46.6,29,12456,R,514.8,7.7
20,0,46.6,29.1,12456,R,311.5,7.7
20,0,46.7,29.1,12456,S,259.3,7.7
20,0,46.6,29.1,12456,R,1148,7.7
