power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.36, 9, 0, 67, P0
69.91, 88, 35, 68, P0
70.39, 95, 43, 68, P0
75.47, 98, 42, 68, P0
49.46, 99, 40, 68, P0
91.56, 98, 36, 68, P0
79.07, 99, 48, 68, P0
67.17, 98, 46, 68, P0
71.68, 92, 40, 68, P0
61.04, 94, 42, 68, P0
55.08, 98, 41, 68, P0
66.29, 99, 41, 68, P0
75.95, 98, 39, 68, P0
80.01, 97, 44, 68, P0
69.09, 87, 34, 68, P0
73.41, 98, 40, 68, P0
49.20, 98, 44, 68, P0
65.56, 98, 37, 68, P0
75.90, 98, 44, 68, P0
87.02, 99, 45, 69, P0
73.56, 93, 37, 68, P0
61.27, 98, 41, 68, P0
75.95, 97, 45, 68, P0
67.69, 99, 37, 69, P0
61.37, 98, 46, 69, P0
42.39, 94, 39, 68, P0
70.82, 96, 43, 69, P0
70.53, 98, 42, 68, P0
55.31, 98, 41, 68, P0
83.42, 99, 45, 69, P0
74.90, 98, 35, 69, P0
46.20, 98, 47, 68, P0
75.28, 93, 39, 68, P0
58.90, 97, 43, 68, P0
59.00, 97, 42, 68, P0
81.46, 99, 37, 68, P0
77.25, 98, 42, 68, P0
70.11, 92, 43, 68, P0
76.72, 93, 36, 69, P0
69.13, 98, 41, 68, P0
77.96, 99, 44, 68, P0
69.61, 98, 35, 68, P0
62.43, 98, 45, 68, P0
45.75, 93, 38, 69, P0
73.84, 91, 41, 69, P0
65.04, 98, 40, 68, P0
66.43, 99, 42, 68, P0
80.21, 98, 36, 69, P0
74.46, 98, 35, 69, P0
77.29, 98, 45, 69, P0
67.89, 93, 39, 69, P0
62.33, 94, 37, 68, P0
67.11, 98, 40, 68, P0
49.39, 98, 44, 68, P0
74.13, 99, 37, 68, P0
58.23, 98, 43, 68, P0
73.46, 90, 36, 69, P0
63.98, 88, 38, 68, P0
65.71, 98, 40, 69, P0
63.06, 99, 45, 69, P0
68.98, 98, 35, 68, P0
66.58, 97, 45, 68, P0
51.35, 90, 38, 69, P0
90.74, 69, 30, 69, P0
66.92, 98, 41, 69, P0
78.63, 99, 44, 68, P0
73.89, 98, 36, 69, P0
60.89, 98, 46, 69, P0
44.49, 84, 35, 68, P0
74.08, 92, 38, 69, P0
70.48, 86, 34, 68, P0
58.61, 98, 40, 68, P0
50.71, 98, 44, 69, P0
61.02, 99, 38, 68, P0
71.15, 98, 41, 68, P0
70.72, 93, 39, 69, P0
82.32, 74, 30, 69, P0
58.26, 79, 37, 69, P0
58.75, 98, 42, 68, P0
83.90, 98, 36, 69, P0
76.96, 98, 43, 69, P0
56.43, 99, 44, 69, P0
76.10, 88, 36, 69, P0
69.51, 98, 40, 68, P0
77.05, 98, 44, 68, P0
71.73, 99, 39, 69, P0
71.97, 98, 44, 68, P0
49.55, 96, 36, 68, P0
70.73, 99, 47, 69, P0
67.98, 92, 37, 68, P0
72.93, 98, 41, 69, P0
64.64, 98, 41, 68, P0
92.54, 99, 39, 69, P0
76.81, 98, 40, 69, P0
89.27, 99, 45, 69, P0
70.48, 79, 30, 69, P0
67.50, 99, 43, 68, P0
54.15, 98, 42, 68, P0
84.62, 99, 37, 69, P0
72.02, 97, 37, 69, P0
54.18, 99, 47, 68, P0
70.34, 92, 37, 69, P0
76.77, 99, 43, 69, P0
68.46, 98, 41, 69, P0
65.52, 99, 39, 69, P0
67.54, 98, 42, 69, P0
64.16, 97, 44, 68, P0
79.45, 90, 36, 69, P0
69.51, 74, 30, 69, P0
73.79, 97, 43, 69, P0
64.41, 98, 41, 69, P0
89.23, 99, 41, 69, P0
76.33, 98, 41, 68, P0
77.34, 99, 44, 69, P0
73.31, 93, 38, 69, P0
73.65, 98, 40, 69, P0
87.54, 99, 42, 69, P0
50.71, 98, 38, 69, P0
40.34, 99, 47, 68, P0
73.56, 91, 38, 69, P0
65.43, 99, 45, 69, P0
54.60, 98, 42, 69, P0
74.94, 99, 39, 69, P0
92.35, 98, 34, 69, P0
77.05, 98, 47, 69, P0
56.36, 90, 38, 69, P0
70.72, 93, 42, 69, P0
72.83, 98, 42, 69, P0
51.45, 99, 41, 69, P0
80.07, 97, 44, 69, P0
77.92, 99, 38, 69, P0
55.37, 98, 41, 69, P0
70.63, 93, 39, 69, P0
60.12, 93, 37, 69, P0
76.33, 98, 40, 69, P0
61.46, 99, 45, 69, P0
71.39, 98, 35, 69, P0
47.07, 98, 46, 68, P0
65.77, 86, 37, 69, P0
80.22, 55, 23, 69, P0
78.59, 99, 41, 69, P0
78.11, 98, 44, 68, P0
84.96, 99, 39, 69, P0
56.98, 98, 44, 69, P0
43.26, 90, 38, 69, P0
75.09, 92, 36, 69, P0
60.21, 98, 40, 69, P0
76.77, 98, 43, 69, P0
73.94, 99, 37, 69, P0
56.21, 99, 37, 69, P0
51.61, 98, 42, 68, P0
65.23, 99, 43, 69, P0
73.60, 86, 34, 69, P0
70.67, 82, 39, 68, P0
66.43, 98, 41, 69, P0
68.31, 99, 40, 69, P0
57.46, 98, 38, 69, P0
40.75, 99, 48, 69, P0
75.57, 92, 38, 69, P0
63.93, 98, 45, 69, P0
75.62, 91, 39, 69, P0
62.00, 99, 45, 69, P0
71.39, 98, 34, 69, P0
76.67, 98, 47, 69, P0
92.40, 90, 40, 69, P0
77.24, 99, 44, 69, P0
63.58, 98, 41, 69, P0
81.12, 98, 39, 69, P0
66.92, 98, 40, 69, P0
55.28, 99, 47, 69, P0
82.40, 98, 48, 69, P0
62.97, 88, 37, 69, P0
61.85, 99, 44, 69, P0
53.38, 98, 42, 69, P0
83.65, 99, 39, 69, P0
75.57, 98, 41, 68, P0
73.32, 99, 45, 69, P0
72.89, 94, 38, 69, P0
67.73, 99, 41, 69, P0
50.71, 87, 40, 69, P0
76.00, 99, 37, 69, P0
75.86, 98, 41, 69, P0
62.04, 99, 45, 69, P0
69.72, 91, 36, 69, P0
67.16, 96, 40, 69, P0
55.47, 98, 41, 69, P0
49.75, 99, 41, 69, P0
63.54, 97, 35, 69, P0
66.58, 98, 46, 69, P0
51.03, 90, 36, 69, P0
71.15, 91, 39, 69, P0
71.58, 91, 37, 69, P0
51.77, 91, 38, 69, P0
68.56, 98, 44, 69, P0
