power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
66.99,98,58,69, P0
72.5,99,67,70, P0
82.44,99,47,70, P0
65.34,99,65,70, P0
69.1,99,82,71, P0
60.33,99,47,71, P0
65.88,99,53,71, P0
66.84,98,43,72, P0
65.11,99,52,72, P0
67.7,99,43,72, P0
68.52,99,47,73, P0
91.42,84,38,73, P0
65.34,99,49,73, P0
69.44,99,25,73, P0
65.97,98,40,74, P0
79.2,95,45,74, P0
72.55,99,42,74, P0
66.55,98,44,74, P0
69.58,94,41,75, P0
66.26,73,43,74, P0
48.56,100,65,75, P0
70.59,100,64,75, P0
70.35,100,69,75, P0
68.04,100,69,75, P0
65.59,94,60,76, P0
68.57,94,60,76, P0
47.4,100,65,76, P0
69.63,100,65,76, P0
72.55,100,68,76, P0
69.53,100,69,77, P0
66.8,94,59,77, P0
68.33,95,60,77, P0
47.31,100,65,77, P0
70.39,100,64,77, P0
72.98,100,69,77, P0
70.87,100,70,78, P0
66.8,93,57,78, P0
69.44,91,55,78, P0
65.49,100,65,78, P0
69.05,100,65,78, P0
69.58,100,71,78, P0
72.89,100,69,78, P0
72.07,95,58,79, P0
78.91,95,59,79, P0
70.59,100,65,79, P0
70.01,100,66,79, P0
66.51,100,69,79, P0
63.23,100,66,79, P0
67.95,100,68,79, P0
64.54,95,59,80, P0
39.01,89,55,79, P0
69.34,100,65,80, P0
71.6,100,62,80, P0
74.32,95,65,80, P0
66.6,95,66,80, P0
66.26,100,61,80, P0
68.04,100,61,80, P0
67.71,100,68,81, P0
66.85,100,67,81, P0
69.25,90,60,81, P0
66.93,95,64,81, P0
83.34,100,64,81, P0
71.69,100,64,81, P0
71.21,100,65,81, P0
65.84,100,67,81, P0
66.17,95,59,82, P0
67.28,95,55,82, P0
65.3,100,63,81, P0
67.9,100,64,82, P0
70.01,100,69,82, P0
70.2,100,69,82, P0
75.04,95,56,82, P0
83.39,95,57,82, P0
72.46,100,66,82, P0
72.7,100,65,83, P0
66.36,100,67,82, P0
69.15,95,64,83, P0
71.4,100,61,83, P0
69.44,100,62,83, P0
68.76,100,67,83, P0
67.95,100,67,83, P0
69.15,95,63,83, P0
66.7,95,61,83, P0
71.88,100,63,83, P0
71.4,100,64,83, P0
73.08,100,68,83, P0
69.53,100,69,83, P0
66.26,95,55,83, P0
69.72,95,55,84, P0
68.48,100,63,84, P0
74.23,100,64,84, P0
65.54,100,68,84, P0
65.01,100,69,84, P0
70.11,95,57,84, P0
63.92,100,62,84, P0
65.93,100,65,84, P0
67.03,100,66,84, P0
71.79,95,61,84, P0
65.01,95,61,84, P0
73.7,100,62,84, P0
69.63,100,64,84, P0
76.48,100,68,85, P0
76.14,100,70,84, P0
73.32,95,56,84, P0
74.13,95,60,84, P0
66.45,100,60,84, P0
66.7,100,60,84, P0
64.25,95,58,84, P0
63.33,95,51,84, P0
66.65,100,59,84, P0
64.63,100,61,84, P0
67.37,95,57,84, P0
64.1,95,45,84, P0
58.73,100,55,84, P0
62.56,100,59,84, P0
63.81,100,46,84, P0
62.21,100,53,84, P0
62.41,94,49,84, P0
62.94,95,45,84, P0
59.04,100,51,84, P0
61.35,100,60,84, P0
59.18,100,49,84, P0
58.06,100,52,84, P0
63.52,100,52,84, P0
60.23,92,44,84, P0
59.66,100,54,84, P0
64.67,100,57,84, P0
57.77,100,48,84, P0
59.37,100,54,84, P0
65.01,100,53,84, P0
56.94,92,43,84, P0
60.23,100,54,84, P0
63.33,100,63,84, P0
70.2,95,53,84, P0
72.36,95,54,84, P0
64.77,100,61,84, P0
62.66,100,63,84, P0
64.38,93,58,84, P0
66.07,95,52,84, P0
65.59,100,62,84, P0
65.97,100,63,84, P0
72.84,98,61,84, P0
69.44,96,59,84, P0
56.33,100,59,84, P0
64.92,100,61,84, P0
63.04,100,65,84, P0
68.33,100,64,84, P0
64.96,100,56,84, P0
67.37,100,60,84, P0
69.72,100,69,84, P0
67.28,100,64,84, P0
67.47,95,56,84, P0
63.23,100,56,84, P0
67.62,100,64,84, P0
71.98,100,66,84, P0
69.34,95,54,84, P0
57.74,95,55,84, P0
65.3,100,62,84, P0
62.37,100,64,84, P0
65.93,95,55,84, P0
64.29,95,53,84, P0
67.28,100,61,84, P0
69.44,100,60,84, P0
70.06,95,57,84, P0
63.19,95,58,84, P0
61.93,100,61,84, P0
65.49,100,62,84, P0
64.58,100,68,84, P0
71.69,95,59,84, P0
79.15,100,58,84, P0
73.41,100,62,84, P0
71.4,100,64,84, P0
68.48,100,68,84, P0
71.07,96,55,84, P0
70.39,96,56,84, P0
68.57,100,64,84, P0
68.14,100,63,84, P0
68.96,100,66,84, P0
70.97,100,66,84, P0
65.59,96,58,84, P0
66.8,97,58,84, P0
67.75,100,63,84, P0
71.12,100,65,84, P0
71.07,95,60,84, P0
73.13,95,62,84, P0
80.62,100,61,84, P0
72.07,100,63,84, P0
73.08,100,64,84, P0
65.4,100,68,84, P0
69.3,95,56,84, P0
70.68,95,57,84, P0
68.77,100,64,84, P0
67.56,100,63,84, P0
68.48,100,67,84, P0
70.2,100,68,84, P0
65.59,92,57,84, P0
64.69,100,61,84, P0
68.91,100,63,84, P0
73.18,100,64,84, P0
75.28,95,62,84, P0
70.93,92,62,84, P0
87.33,100,60,84, P0
73.08,100,63,84, P0
71.79,100,64,84, P0
66.51,100,70,84, P0
69.15,95,56,84, P0
70.93,95,56,84, P0
68.96,100,63,83, P0
69.34,100,63,84, P0
67.9,100,67,84, P0
69.72,100,68,83, P0
64.63,96,58,84, P0
65.36,100,61,84, P0
68.19,100,62,83, P0
73.32,100,64,84, P0
77,97,63,83, P0
72.99,95,62,83, P0
82.44,100,61,83, P0
72.12,100,62,83, P0
72.6,100,65,83, P0
64.63,100,70,83, P0
66.8,95,56,83, P0
69.53,96,57,83, P0
68.86,100,64,83, P0
68.43,100,63,83, P0
69.34,100,66,83, P0
73.03,100,68,83, P0
65.21,95,59,83, P0
65.17,97,58,83, P0
67.23,100,62,83, P0
74.61,100,65,83, P0
70.2,86,57,83, P0
70.49,95,63,83, P0
80.29,100,61,83, P0
73.08,100,63,83, P0
73.22,100,65,83, P0
65.64,100,68,83, P0
69.3,95,57,83, P0
66.6,95,56,83, P0
66.41,100,63,82, P0
67.37,100,64,83, P0
66.6,100,68,83, P0
70.25,100,66,83, P0
67.42,96,58,83, P0
78.67,95,59,83, P0
69.3,100,63,82, P0
72.03,100,63,82, P0
66.8,96,66,82, P0
68.77,95,65,82, P0
67.9,100,61,82, P0
65.93,100,62,82, P0
66.93,100,67,82, P0
66.85,100,67,82, P0
69.87,96,62,82, P0
68.43,96,63,82, P0
72.99,100,64,82, P0
