power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
70.83,92,63,72, P0
63.67,98,65,72, P0
71.69,98,63,72, P0
67.9,98,64,72, P0
73.51,98,62,72, P0
62.85,98,62,72, P0
69,95,62,73, P0
70.64,97,61,72, P0
69.67,98,66,73, P0
67.95,97,66,72, P0
70.49,98,63,73, P0
70.3,98,64,73, P0
72.74,97,65,73, P0
66.7,98,64,72, P0
63.14,98,64,72, P0
70.25,98,64,73, P0
66.41,98,62,72, P0
70.01,99,63,72, P0
73.37,97,64,73, P0
64.44,99,62,73, P0
70.93,98,66,73, P0
70.01,98,67,72, P0
70.16,98,62,72, P0
69.97,96,64,72, P0
71.88,97,68,73, P0
67.28,98,64,72, P0
62.37,98,64,72, P0
68.19,98,64,72, P0
66.99,98,62,72, P0
67.08,98,63,73, P0
74.52,97,64,72, P0
61.6,98,61,72, P0
71.31,99,67,72, P0
65.69,92,62,72, P0
71.64,100,45,70, P0
66.22,99,65,70, P0
57.35,98,64,70, P0
73.56,98,63,71, P0
69.53,98,66,71, P0
67.04,96,66,71, P0
66.6,98,61,71, P0
75.18,99,65,71, P0
67.28,99,64,71, P0
73.18,99,64,71, P0
72.89,98,66,71, P0
66.85,95,65,71, P0
69.44,98,63,71, P0
68.48,98,65,71, P0
70.3,97,63,71, P0
70.64,99,66,71, P0
55.01,99,62,71, P0
70.35,96,59,71, P0
67.71,97,62,71, P0
76.43,96,65,71, P0
64.25,96,63,71, P0
72.41,97,63,71, P0
71.69,96,65,71, P0
70.73,94,66,71, P0
72.41,95,64,71, P0
77.96,96,69,71, P0
67.62,96,64,71, P0
63.81,98,62,71, P0
69.01,97,64,71, P0
67.52,95,62,71, P0
79.63,90,59,71, P0
60.01,95,62,71, P0
70.59,95,66,71, P0
66.85,91,63,71, P0
69.25,96,65,71, P0
72.65,95,66,71, P0
70.45,95,67,71, P0
61.98,96,62,71, P0
68.63,97,66,71, P0
66.85,94,63,71, P0
68.38,97,63,71, P0
75.76,97,66,71, P0
64.06,97,63,71, P0
68.57,98,62,71, P0
70.83,98,65,71, P0
67.66,97,66,71, P0
72.99,99,65,71, P0
69.34,98,63,71, P0
72.22,96,64,71, P0
73.56,97,64,71, P0
61.79,98,65,71, P0
70.11,98,60,71, P0
68.23,98,61,71, P0
68.77,97,62,71, P0
68.43,97,64,71, P0
71.88,97,63,71, P0
70.54,97,68,71, P0
76.57,92,64,71, P0
71.5,97,63,71, P0
64.34,97,65,71, P0
70.06,93,63,71, P0
66.94,92,61,71, P0
68.86,95,65,71, P0
71.88,98,64,71, P0
70.15,97,62,71, P0
67.33,94,62,71, P0
70.68,95,63,71, P0
70.35,94,63,71, P0
79.1,95,64,71, P0
67.47,97,64,71, P0
63.14,98,62,71, P0
71.17,98,67,71, P0
67.42,96,66,71, P0
68.57,95,61,71, P0
75.62,96,62,71, P0
63.04,97,61,71, P0
73.08,93,62,71, P0
68.62,96,63,71, P0
72.51,97,67,71, P0
76.09,92,63,71, P0
69.05,97,64,71, P0
63.38,98,66,71, P0
72.32,93,63,71, P0
72.17,98,63,71, P0
71.02,97,65,71, P0
67.04,96,61,71, P0
74.18,97,63,71, P0
71.88,98,65,71, P0
67.66,98,64,71, P0
70.11,97,65,71, P0
73.27,97,68,71, P0
71.84,94,64,71, P0
73.08,91,62,71, P0
63.96,97,63,71, P0
72.32,94,62,71, P0
65.36,96,62,71, P0
70.83,96,65,71, P0
80.96,97,66,71, P0
52.67,97,62,71, P0
70.3,96,64,71, P0
70.06,98,63,71, P0
70.73,98,63,71, P0
71.5,98,67,71, P0
77,96,68,71, P0
59.62,94,61,71, P0
70.5,96,68,71, P0
65.01,97,64,71, P0
67.75,95,60,71, P0
77.38,97,62,71, P0
58.47,95,62,71, P0
70.93,96,66,71, P0
70.35,98,64,71, P0
72.51,98,69,71, P0
70.25,96,65,71, P0
73.85,98,64,71, P0
66.12,98,66,71, P0
55.46,98,64,70, P0
70.16,97,68,71, P0
65.84,96,63,71, P0
68.14,97,60,71, P0
73.85,97,62,71, P0
57.93,97,62,71, P0
69.72,97,65,71, P0
71.21,97,64,71, P0
70.73,97,68,71, P0
71.12,96,66,71, P0
72.6,98,65,71, P0
66.07,97,65,71, P0
59.97,97,64,71, P0
70.06,96,64,71, P0
68.29,98,65,70, P0
76.71,95,63,71, P0
62.75,98,59,71, P0
70.83,97,66,71, P0
65.64,98,63,71, P0
70.11,89,60,71, P0
