PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,29.9,10.2,90900,S,6815,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,7993,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,7313,2.7
20,0,29.9,10.2,90900,S,7803,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,7896,2.7
20,0,29.9,10.2,90900,S,7870,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,7889,2.7
20,0,29.9,10.2,90900,S,7929,2.7
20,0,29.9,10.2,90900,S,7872,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,7939,2.7
20,0,29.9,10.2,90900,S,7872,2.7
20,0,29.9,10.2,90900,S,7479,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,7886,2.7
20,0,29.9,10.2,90900,S,7863,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,8000,2.7
20,0,29.9,10.2,90900,S,6775,2.7
20,0,29.9,10.2,90900,S,7950,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7607,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7755,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7817,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7738,2.7
20,0,29.9,10.2,90960,S,7870,2.7
20,0,29.9,10.2,90960,S,7593,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7848,2.7
20,0,29.9,10.2,90960,S,7850,2.7
20,0,29.9,10.2,90960,S,7881,2.7
20,0,29.9,10.2,90960,S,7822,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7689,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,6997,2.7
20,0,29.9,10.2,90960,S,7703,2.7
20,0,29.9,10.2,90960,S,7707,2.7
20,0,29.9,10.2,90960,S,7967,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7330,2.7
20,0,29.9,10.2,90960,S,6959,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7669,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7832,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7850,2.7
20,0,29.9,10.2,90960,S,7561,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7455,2.7
20,0,29.9,10.2,90960,S,7826,2.7
20,0,29.9,10.2,90960,S,7922,2.7
20,0,29.9,10.2,90960,S,7978,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7438,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7915,2.7
20,0,29.9,10.2,90960,S,7768,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7850,2.7
20,0,29.9,10.2,90960,S,6575,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7547,2.7
20,0,29.9,10.2,90960,S,7971,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90960,S,7821,2.7
20,0,29.9,10.2,90960,S,7343,2.7
20,0,29.9,10.2,90960,S,7669,2.7
20,0,29.9,10.2,90960,S,7579,2.7
20,0,29.9,10.2,90960,S,7955,2.7
20,0,29.9,10.2,90960,S,7866,2.7
20,0,29.9,10.2,90960,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7084,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7893,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7353,2.7
20,0,29.9,10.2,90988,S,7867,2.7
20,0,29.9,10.2,90988,S,7889,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7793,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7774,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,6868,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7993,2.7
20,0,29.9,10.2,90988,S,7393,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7821,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,6597,2.7
20,0,29.9,10.2,90988,S,7757,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7720,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7982,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7824,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7571,2.7
20,0,29.9,10.2,90988,S,7838,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7893,2.7
20,0,29.9,10.2,90988,S,7929,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7815,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7248,2.7
20,0,29.9,10.2,90988,S,7914,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7783,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7784,2.7
20,0,29.9,10.2,90988,S,7213,2.7
20,0,29.9,10.2,90988,S,6980,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7550,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7738,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7672,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7996,2.7
20,0,29.9,10.2,90988,S,7666,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7736,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7834,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7803,2.7
20,0,29.9,10.2,90988,S,6725,2.7
20,0,29.9,10.2,90988,S,7600,2.7
20,0,29.9,10.2,90988,S,7907,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7919,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7125,2.7
20,0,29.9,10.2,90988,S,7721,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7929,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7657,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7340,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7331,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7253,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7361,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,6397,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7345,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7631,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7946,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7019,2.7
20,0,29.9,10.2,90988,S,7925,2.7
20,0,29.9,10.2,90988,S,7846,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7786,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7979,2.7
20,0,29.9,10.2,90988,S,7932,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7538,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7319,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7340,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7442,2.7
20,0,29.9,10.2,90988,S,7754,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7248,2.7
20,0,29.9,10.2,90988,S,7743,2.7
20,0,29.9,10.2,90988,S,7679,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7670,2.7
20,0,29.9,10.2,90988,S,6767,2.7
20,0,29.9,10.2,90988,S,7438,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7593,2.7
20,0,29.9,10.2,90988,S,8000,2.7
20,0,29.9,10.2,90988,S,7697,2.7
20,0,29.9,10.2,90988,S,8000,2.7
