PR  ,NI,VIRT,RES,SHR,S,%CPU , %MEM
20,0,24,5.9,89616,S,6881,1.6
20,0,24,5.9,89616,S,8000,1.6
20,0,24,5.9,89616,S,7242,1.6
20,0,24,5.9,89616,S,8000,1.6
20,0,24,5.9,89616,S,7759,1.6
20,0,24,5.9,89616,S,8000,1.6
20,0,24,5.9,89616,S,8000,1.6
20,0,24,5.9,89616,S,7041,1.6
20,0,24,5.9,89616,S,7561,1.6
20,0,24,5.9,89616,S,7893,1.6
20,0,24,5.9,89616,S,7725,1.6
20,0,24,5.9,89616,S,7755,1.6
20,0,24,5.9,89616,S,7950,1.6
20,0,24,5.9,89616,S,7779,1.6
20,0,24,5.9,89616,S,7879,1.6
20,0,24,5.9,89624,S,7950,1.6
20,0,24,5.9,89640,S,8000,1.6
20,0,24,5.9,89640,S,7931,1.6
20,0,24,5.9,89640,S,7800,1.6
20,0,24,5.9,89640,R,8000,1.6
20,0,24,5.9,89640,S,7966,1.6
20,0,24,5.9,89640,S,7762,1.6
20,0,24,5.9,89640,S,8000,1.6
20,0,24,5.9,89640,S,7917,1.6
20,0,24,5.9,89640,S,7866,1.6
20,0,24,5.9,89640,S,7804,1.6
20,0,24,5.9,89640,S,7828,1.6
20,0,24,5.9,89640,S,8000,1.6
20,0,24,5.9,89640,S,7875,1.6
20,0,24,5.9,89640,S,7754,1.6
20,0,24,5.9,89640,S,7896,1.6
20,0,24,5.9,89648,S,8000,1.6
20,0,24,5.9,89664,S,7514,1.6
20,0,24,5.9,89664,S,8000,1.6
20,0,24,5.9,89664,S,8000,1.6
20,0,24,5.9,89664,S,7676,1.6
20,0,24,5.9,89664,S,7982,1.6
20,0,24,5.9,89672,S,8000,1.6
20,0,24,5.9,89676,S,8000,1.6
20,0,24,5.9,89676,S,7517,1.6
20,0,24,5.9,89676,S,7866,1.6
20,0,24,5.9,89676,S,8000,1.6
20,0,24,5.9,89680,S,7857,1.6
20,0,24,5.9,89680,S,7911,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7766,1.6
20,0,24,5.9,89680,S,7776,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7617,1.6
20,0,24,5.9,89680,S,7724,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7503,1.6
20,0,24,5.9,89680,S,7745,1.6
20,0,24,5.9,89680,S,7703,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7775,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,6935,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7840,1.6
20,0,24,5.9,89680,S,7241,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7655,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7290,1.6
20,0,24,5.9,89680,S,7817,1.6
20,0,24,5.9,89680,S,7643,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7638,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7923,1.6
20,0,24,5.9,89680,S,7693,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7758,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7717,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7830,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7831,1.6
20,0,24,5.9,89680,S,7563,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7370,1.6
20,0,24,5.9,89680,S,7829,1.6
20,0,24,5.9,89680,S,7996,1.6
20,0,24,5.9,89680,S,7852,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89680,S,7634,1.6
20,0,24,5.9,89680,S,8000,1.6
20,0,24,5.9,89708,S,7990,1.6
20,0,24,5.9,89708,S,7707,1.6
20,0,24,5.9,89708,S,7814,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7813,1.6
20,0,24,5.9,89708,S,7493,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7824,1.6
20,0,24,5.9,89708,S,7854,1.6
20,0,24,5.9,89708,S,7868,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7821,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7638,1.6
20,0,24,5.9,89708,S,7914,1.6
20,0,24,5.9,89708,S,7807,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7721,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7576,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7979,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7724,1.6
20,0,24,5.9,89708,S,7993,1.6
20,0,24,5.9,89708,S,7676,1.6
20,0,24,5.9,89708,S,7817,1.6
20,0,24,5.9,89708,S,7857,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7580,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7703,1.6
20,0,24,5.9,89708,S,7850,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7597,1.6
20,0,24,5.9,89708,S,7943,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7627,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7779,1.6
20,0,24,5.9,89708,S,7647,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7538,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7587,1.6
20,0,24,5.9,89708,S,7673,1.6
20,0,24,5.9,89708,S,7686,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7542,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7350,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7762,1.6
20,0,24,5.9,89708,S,7966,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7783,1.6
20,0,24,5.9,89708,S,7629,1.6
20,0,24,5.9,89708,S,7659,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7597,1.6
20,0,24,5.9,89708,S,7776,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7772,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7665,1.6
20,0,24,5.9,89708,S,7652,1.6
20,0,24,5.9,89708,S,7964,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7350,1.6
20,0,24,5.9,89708,S,7943,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7655,1.6
20,0,24,5.9,89708,S,7871,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7562,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,6994,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7648,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7859,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7677,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7560,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7370,1.6
20,0,24,5.9,89708,S,7929,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7666,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7786,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7866,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7859,1.6
20,0,24,5.9,89708,S,7752,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7782,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7570,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7807,1.6
20,0,24,5.9,89708,S,7055,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7528,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7834,1.6
20,0,24,5.9,89708,S,7717,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7723,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7938,1.6
20,0,24,5.9,89708,S,7864,1.6
20,0,24,5.9,89708,S,7707,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7776,1.6
20,0,24,5.9,89708,S,7989,1.6
20,0,24,5.9,89708,S,7811,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7945,1.6
20,0,24,5.9,89708,S,7747,1.6
20,0,24,5.9,89708,S,7946,1.6
20,0,24,5.9,89708,S,7721,1.6
20,0,24,5.9,89708,S,7768,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7638,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7484,1.6
20,0,24,5.9,89708,S,7493,1.6
20,0,24,5.9,89708,S,7847,1.6
20,0,24,5.9,89708,S,7745,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7026,1.6
20,0,24,5.9,89708,S,7896,1.6
20,0,24,5.9,89708,R,8000,1.6
20,0,24,5.9,89708,S,7676,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7448,1.6
20,0,24,5.9,89708,S,7766,1.6
20,0,24,5.9,89708,S,7830,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7897,1.6
20,0,24,5.9,89708,S,7817,1.6
20,0,24,5.9,89708,S,7647,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7624,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7955,1.6
20,0,24,5.9,89708,S,7580,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7859,1.6
20,0,24,5.9,89708,S,7786,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7817,1.6
20,0,24,5.9,89708,S,7938,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,6881,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7714,1.6
20,0,24,5.9,89708,S,7871,1.6
20,0,24,5.9,89708,S,8000,1.6
20,0,24,5.9,89708,S,7828,1.6
20,0,24,5.9,89708,S,7896,1.6
