Testing loss: 0.45910021662712097, mse: 0.13541512191295624, bin_accuracy: 0.9808107018470764
Testing loss: 0.3118955194950104, mse: 0.0723109021782875, bin_accuracy: 0.9957080483436584
Testing loss: 0.2116236835718155, mse: 0.03676643595099449, bin_accuracy: 0.9957340359687805
Testing loss: 0.17447303235530853, mse: 0.025949211791157722, bin_accuracy: 0.9957363605499268
Testing loss: 0.10325328260660172, mse: 0.01021633855998516, bin_accuracy: 0.9957363605499268
Testing loss: 0.08537160605192184, mse: 0.0073505970649421215, bin_accuracy: 0.9957363605499268
Testing loss: 0.05266602337360382, mse: 0.0034473880659788847, bin_accuracy: 0.9957363605499268
Testing loss: 0.049152448773384094, mse: 0.004760267212986946, bin_accuracy: 0.9957398772239685
Testing loss: 0.025914907455444336, mse: 0.0016669040778651834, bin_accuracy: 0.995762288570404
Testing loss: 0.021555224433541298, mse: 0.0013636356452479959, bin_accuracy: 0.9958780407905579
Testing loss: 0.020967906340956688, mse: 0.0015594572760164738, bin_accuracy: 0.9957999587059021
Testing loss: 0.013347997330129147, mse: 0.0011187655618414283, bin_accuracy: 0.9958084225654602
Testing loss: 0.012639655731618404, mse: 0.0008323297370225191, bin_accuracy: 0.9959980845451355
Testing loss: 0.011699075810611248, mse: 0.0009145888616330922, bin_accuracy: 0.9958950877189636
Testing loss: 0.008829091675579548, mse: 0.0005905416910536587, bin_accuracy: 0.9961296916007996
Testing loss: 0.006824600975960493, mse: 0.0006465432816185057, bin_accuracy: 0.9961153864860535
Testing loss: 0.008302918635308743, mse: 0.0012226291000843048, bin_accuracy: 0.9953411221504211
Testing loss: 0.004933749791234732, mse: 0.0005290539120323956, bin_accuracy: 0.9961521029472351
Testing loss: 0.004875831305980682, mse: 0.000609805341809988, bin_accuracy: 0.9961104393005371
Testing loss: 0.00461601372808218, mse: 0.000589038070756942, bin_accuracy: 0.9959843754768372
Testing loss: 0.0038213112857192755, mse: 0.0004421082267072052, bin_accuracy: 0.996159553527832
Testing loss: 0.005784918088465929, mse: 0.000996795599348843, bin_accuracy: 0.9954345226287842
Testing loss: 0.0037134892772883177, mse: 0.0005125370807945728, bin_accuracy: 0.9959805607795715
Testing loss: 0.005804091691970825, mse: 0.0011749367695301771, bin_accuracy: 0.9951353669166565
Testing loss: 0.0033169863745570183, mse: 0.000449956365628168, bin_accuracy: 0.9961142539978027
Testing loss: 0.00414515333250165, mse: 0.0006263409741222858, bin_accuracy: 0.9960880875587463
Testing loss: 0.0030355139169842005, mse: 0.0004473122535273433, bin_accuracy: 0.9960693717002869
Testing loss: 0.0029247321654111147, mse: 0.0003958074375987053, bin_accuracy: 0.9961461424827576
Testing loss: 0.0028369559440761805, mse: 0.0003804713487625122, bin_accuracy: 0.9961810111999512
Testing loss: 0.0025610625743865967, mse: 0.0003563027421478182, bin_accuracy: 0.9961214065551758
Testing loss: 0.002729669911786914, mse: 0.0003912764659617096, bin_accuracy: 0.9961695075035095
Testing loss: 0.002472352935001254, mse: 0.0003597228496801108, bin_accuracy: 0.9960946440696716
Testing loss: 0.002635883865877986, mse: 0.000379552278900519, bin_accuracy: 0.9960984587669373
